lsoa11cd,easting,northing
E01000001,532180.9388,181797.9414
E01000002,532449.3166,181804.2113
E01000003,532195.5113,182070.5975
E01000005,533756.7242,181103.4762
E01000006,544909.6094,184320.9525
E01000007,544140.1198,184461.7607
E01000008,543724.8983,184478.5149
E01000009,544602.7724,184438.3762
E01000010,544345.216,184006.7366
E01000011,544368.9418,184727.101
E01000012,543906.3075,184711.2899
E01000013,548973.0148,184895.609
E01000014,548712.4918,184998.3844
E01000015,549544.0658,184981.2423
E01000016,549253.2977,185589.6995
E01000017,548891.3669,185582.124
E01000018,549296.1985,185275.8866
E01000019,547113.1912,186546.2424
E01000020,547411.8299,186303.5814
E01000021,546796.3991,186080.2887
E01000022,547164.3138,186044.2521
E01000023,546557.2967,185756.8313
E01000024,547147.5803,185705.78
E01000025,546957.1885,185513.4075
E01000027,548135.6495,189812.6094
E01000028,547630.6555,189512.1951
E01000029,548017.7858,188947.0773
E01000030,548141.2876,189313.602
E01000031,548342.4344,188491.3339
E01000032,548074.1237,188365.9654
E01000033,550050.0604,186228.223
E01000034,550437.4835,186262.7858
E01000035,550160.8991,185525.2137
E01000036,550034.4472,185189.6617
E01000037,551213.8913,187120.076
E01000038,550694.6502,187158.5165
E01000039,551240.5475,186689.1745
E01000040,545529.908,184056.2463
E01000041,546856.0036,184246.1617
E01000042,546141.1003,184167.571
E01000043,545643.4794,183776.8526
E01000044,545121.973,183942.8968
E01000045,546634.3015,183912.3362
E01000046,547133.4778,184088.6703
E01000048,544618.9632,183467.8671
E01000049,544719.3436,183346.7588
E01000050,544760.2722,183824.37
E01000051,544528.7743,183738.7749
E01000052,545244.7478,183602.4587
E01000053,548751.9489,183714.7266
E01000054,547985.9535,184146.8281
E01000055,547552.3894,184014.9395
E01000056,548289.3134,183883.5526
E01000057,547597.7957,184255.1542
E01000058,548230.9932,184445.6623
E01000059,548610.8555,184126.492
E01000060,549322.1781,186458.2797
E01000061,549305.9626,186843.9299
E01000062,549307.0905,186064.0488
E01000063,548840.9851,186340.0519
E01000064,549674.5103,186048.7741
E01000065,548689.1999,185910.5858
E01000066,546144.9201,185209.9759
E01000067,545788.1059,185213.7072
E01000068,545067.8575,184544.5689
E01000069,545682.5434,184788.0895
E01000070,545284.673,184811.0635
E01000071,545669.6415,184423.5353
E01000072,546735.2789,184682.742
E01000073,546852.7203,185095.6294
E01000074,547136.6614,185137.2873
E01000075,547506.4535,184671.4002
E01000076,547108.2858,184609.0888
E01000077,547501.9075,185551.0674
E01000078,547947.3121,185879.651
E01000079,548570.3124,185303.6093
E01000080,547835.5979,185449.656
E01000081,548342.5217,185638.6461
E01000082,548334.3904,186117.3178
E01000083,547666.6789,186014.7247
E01000084,548906.9681,184502.8686
E01000085,549223.9198,184302.4229
E01000086,548950.4443,184158.292
E01000087,549311.7107,183736.5388
E01000088,549592.5971,183793.5167
E01000089,549937.3697,183510.3342
E01000090,549876.7636,183308.0784
E01000091,546413.3301,183077.792
E01000092,545644.3508,182974.548
E01000093,545867.6334,183205.4824
E01000094,546862.1799,182863.0462
E01000095,547724.3139,183336.5787
E01000096,546813.2655,183687.7852
E01000097,547681.6019,187131.56
E01000098,547531.8723,186792.2489
E01000099,547917.1951,186885.5415
E01000100,548369.0661,186695.9578
E01000101,548737.3818,186665.7897
E01000102,547861.0759,186379.6991
E01000103,550378.3168,184123.7315
E01000104,550316.5798,184464.7078
E01000105,549426.5926,184615.2441
E01000106,549833.9681,184586.7103
E01000107,550864.5103,184734.1928
E01000108,550245.2271,184837.5977
E01000109,548507.6176,187039.6479
E01000110,548787.914,188302.5254
E01000111,548808.971,187704.8291
E01000112,548352.5896,187917.2628
E01000113,547977.0099,187816.4276
E01000114,549018.3306,187288.0956
