OA11CD,easting,northing
E00000020,532552,181748
E00000001,532272,181870
E00000010,532102,182102
E00000016,532349,181948
E00000019,532488,181811
E00000031,533521,181405
E00000032,533764,181098
E00000017,532420.191,181896.918
E00000014,532114.137,182061.948
E00000012,532194.087,182070.769
E00000013,532158.927,181940.281
E00000007,532057.654,181484.598
E00000018,532394.066,181736.823
E00000035,533349.844,180833.251
E00000030,533552.796,181418.72
E00166759,532231.204,181974.548
E00166756,532123.829,181916.685
E00166757,532208.443,180772.424
E00000027,531875.342,181688.444
E00166755,533303.669,181571.74
E00000024,531840.988,181099.092
E00000025,531329.071,181073.972
E00166758,532236.999,181833.766
E00000023,532247.275,182113.797
E00000021,532431.938,181708.879
E00000028,531227.87,181217.69
E00000029,533751.189,181023.037
E00000005,532190.395,181729.876
E00000003,532145.37,181824.125
E00000026,531836.577,181544.062
E00000022,532189.236,182161.75
E00000198,550094,186372
E00000459,546835,183751
E00000479,547005,183039
E00000214,547222.474,184107.423
E00000295,548275.025,184024.381
E00000474,546650.413,183174.737
E00000524,550148.568,184464.65
E00000215,546795.183,184034.565
E00000294,548045.321,184205.728
E00000253,544136.939,183658.389
E00000563,548660.455,188216.132
E00000300,549041.469,186563.686
E00000381,546709.505,184863.108
E00000250,544468.86,183784.636
E00000560,548756.149,188297.034
E00000301,549387.63,186507.134
E00000380,547054.534,184989.393
E00000251,544654.897,183661.227
E00000561,548599.502,188371.34
E00000308,549671.729,186435.982
E00000389,546908.221,184717.136
E00000258,544603.426,183664.046
E00000568,547896.839,187925.847
E00000309,549346.225,186363.19
E00000388,546991.414,184652.545
E00000259,545253.771,183629.787
E00000569,548460.595,187919.824
E00000436,550054.68,183373.094
E00000437,549687.833,183474.232
E00000434,549819.831,183233.878
E00000435,549819.709,183484.191
E00000432,549836.004,183580.053
E00000433,550120.512,183415.957
E00000430,549790.561,183728.215
E00000431,549436.164,183525.504
E00000438,549972.714,183318.19
E00000439,548705.714,184564.481
E00000176,550301.887,185397.049
E00000177,550191.097,185343.912
E00000174,549897.342,185245.517
E00000175,550029.101,185425.595
E00000172,549994.819,186060.056
E00000173,550038.774,185819.901
E00000170,550215.053,186166.971
E00000171,550392.685,186093.433
E00000179,550020.528,185254.415
E00000266,548768.288,183882.627
E00000087,549004.648,185075.762
E00000356,546027.042,185253.175
E00000267,547572.738,183938.443
E00000357,546159.638,185209.098
E00000264,544562.016,183479.097
E00000085,548717.904,185154.769
E00000354,546134.098,185443.697
E00000265,548629.22,183745.591
E00000084,549497.111,185030.677
E00000355,545934.412,185419.369
E00000352,545730.549,184417.265
E00000263,544351.154,183691.417
E00000082,549375.166,185321.72
E00000353,545251.155,184334.407
E00000260,544711.035,183617.819
E00000081,549026.376,185457.07
E00000350,545258.989,184494.999
E00000261,545264.196,183458.378
E00000080,549734.771,185036.788
E00000358,545584.288,185229.233
E00000268,548844.68,183955.61
E00000089,549542.777,185221.218
E00000269,548439.475,183885.028
E00000088,549156.477,185087.715
E00000446,549002.702,184341.6
E00000536,550345.936,184109.398
E00000447,549166.92,184137.624
E00000537,550441.214,183961.809
E00000444,548814.004,184320.497
E00000534,550602.814,184111.629
E00000445,549207.391,184320.207
E00000535,550446.168,184240.393
E00000442,549154.016,184493.447
E00000532,550003.963,184272.518
E00000443,549318.513,184484.149
E00000533,549445.474,184405.474
E00000440,548927.316,184612.023
E00000530,550281.792,184378.301
E00000441,548912.397,184469.735
E00000531,550453.816,184366.277
E00000448,548842.305,184149.326
E00000538,550997.203,184894.719
E00000449,549267.476,184123.17
E00000539,550450.74,184824.306
E00175116,546266.254,182482.321
E00175120,546898.335,184562.357
E00175106,544291.081,184396.94
E00175102,544632.755,184099.38
E00175119,546817.969,184546.601
E00175107,546325.042,182613.752
E00175109,543976.694,183604.658
E00175111,544143.991,183278.602
E00000056,543703.039,184363.428
E00000366,547454.1,185690.179
E00000106,547076.727,186861.33
E00000187,550448.887,186332.713
E00175113,547971.429,184501.393
E00000057,543939.43,184263.263
E00000367,547341.743,185443.303
E00000107,547269.055,186823.023
E00000186,550658.236,187219.288
E00000054,544649.359,184301.774
E00000364,547585.634,185589.9
E00000104,547044.94,186424.438
E00000185,551207.819,187232.376
E00000055,544960.687,184360.74
E00000365,547710.479,185719.311
E00000184,551287.948,187139.245
E00000052,543885.632,184453.852
E00000362,547450.921,184505.192
E00000102,547165.721,185778.932
E00000183,550909.918,187276.828
E00000053,544803.289,184246.448
E00000363,547343.943,184380.099
E00000103,547258.245,187068.126
E00000182,550502.783,187141.451
E00000050,543748.053,184458.728
E00000360,547218.129,184567.292
E00000100,549449.819,185626.444
E00000181,551372.37,187148.269
E00000051,544591.697,184382.098
E00000361,547074.704,184518.399
E00000101,547013.493,185831.227
E00000180,550080.651,185051.448
E00000368,546703.725,185313.038
E00000189,551027.331,187081.96
E00000059,544987.11,184190.281
E00000369,547449.726,185344.87
E00000109,547017.323,186676.522
E00000188,550665.981,187023.478
E00000236,544871.868,183528.44
E00000546,548389.762,187009.073
E00000237,545484.784,183525.124
E00000547,549145.734,187546.957
E00000234,545313.832,183498.268
E00000544,550106.33,184731.036
E00000235,544791.998,183425.316
E00000545,548970.011,187605.394
E00000232,545761.661,183710.241
E00000542,549828.466,184822.144
E00000543,550164.169,184840.983
E00000230,545536.883,183819.981
E00000540,550583.524,184906.17
E00000231,545569.257,183664.575
E00000541,550145.673,184922.335
E00000238,544757.925,183381.373
E00000548,548856.375,187635.446
E00000239,544601.242,183442.652
E00000549,547800.619,187514.746
E00000416,548250.325,186058.767
E00000497,548513.027,186789.181
E00000417,547838.303,186145.822
E00000496,548747.506,186683.567
E00000414,548661.356,186204.243
E00000495,548157.439,186718.77
E00000415,548460.753,186203.564
E00000494,548872.009,186754.025
E00000412,548787.135,185289.871
E00000493,548299.983,186792.123
E00000413,548582.144,185172.559
E00000410,548404.012,185344.804
E00000491,547636.357,186727.98
E00000411,547610.121,185367.581
E00000490,547779.503,186741.128
E00000418,547569.955,186043.472
E00000499,547923.673,186753.062
E00000419,547665.133,186068.8
E00000498,548582.18,186700.978
E00000156,548383.072,189985.309
E00000066,544344.413,184732.13
E00000157,548290.298,190045.504
E00000067,543813.578,184746.993
E00000154,547912.604,188048.819
E00000064,544375.119,184818.916
E00000155,548230.936,188167.317
E00000065,544073.786,184756.371
E00000152,548377.793,188237.019
E00000062,544307.885,184034.389
E00000153,548039.579,188299.513
E00000063,544574.633,184011.219
E00000150,548029.562,188568.667
E00000060,545054.714,184256.248
E00000151,548430.639,188463.726
E00000061,543970.045,184170.807
E00000158,548002.493,189831.19
E00000068,544272.717,184653.507
E00000159,548375.689,189428.671
E00000069,544076.628,184645.583
E00000336,545845.237,184872.11
E00000246,544747.203,183903.395
E00000337,545309.194,184968.753
E00000247,544792.023,183956.411
E00000334,545620.78,184908.765
E00000244,544900.818,183284.261
E00000335,545755.36,185029.013
E00000245,544642.404,183368.466
E00000332,545706.067,185206.549
E00000242,544376.255,183431.624
E00000333,545898.608,185215.156
E00000243,544618.733,183300.138
E00000330,549228.374,186778.802
E00000240,544266.493,183542.904
E00000331,546279.092,185168.195
E00000241,544709.901,183452.964
E00000248,544492.146,183855.644
E00000249,544657.449,183846.845
E00000339,545552.678,184732.305
E00000426,549413.978,183793.218
E00000516,549869.214,184746.346
E00000427,549605.237,183731.705
E00000517,549617.104,184707.959
E00000424,549374.467,184046.771
E00000514,550993.316,184739.059
E00000425,549181.463,183892.896
E00000515,549980.165,184713.04
E00000422,549096.679,184109.491
E00000423,548997.08,184077.284
E00000513,550844.308,184806.729
E00000420,549204.848,183719.689
E00000510,547655.273,187321.193
E00000421,549904.568,183262.603
E00000511,549145.905,184697.3
E00000428,549526.559,183633.515
E00000518,550382.158,184611.217
E00000429,549921.009,183634.735
E00000519,550866.139,184588.708
E00000166,547632.116,189318.273
E00000167,550206.11,185546.805
E00000164,547777.342,189527.415
E00000165,547816.535,189381.754
E00000162,547511.169,189424.237
E00000163,547983.303,189507.064
E00000160,548059.432,189732.548
E00000161,547626.13,189670.99
E00000168,550190.083,186321.031
E00000169,549968.53,186232.123
E00000346,544886.372,184624.427
E00000347,545902.022,184590.441
E00000037,544535.865,184615.1
E00000344,544969.525,184679.71
E00000475,546493.286,183075.939
E00000212,545972.99,184017.346
E00000293,548574.378,184158.011
E00000472,546047.508,183197.338
E00000522,550167.502,184575.616
E00000213,545619.355,184146.879
E00000292,548220.011,184232.992
E00000523,550660.659,184336.397
E00000291,547452.835,184184.385
E00000470,545119.969,183126.609
E00000520,549442.777,184702.981
E00000211,545958.737,184187.344
E00000471,546228.499,183183.906
E00000521,549305.582,184620.715
E00000218,545513.814,184007.151
E00000299,549159.996,186540.549
E00000478,545168.264,183036.262
E00000528,549601.54,184515.805
E00000219,547028.532,183976.419
E00000298,549055.211,186321.536
E00000529,549845.166,184461.715
E00175103,544375.541,184063.453
E00000136,548230.782,188416.895
E00000046,544193.874,184595.179
E00175105,544343.01,183973.019
E00000137,547575.147,189506.589
E00000134,547038.785,185399.368
E00000135,548146.361,188629.584
E00000045,543791.965,184641.479
E00000132,546959.735,185545.381
E00000042,544447.854,184566.724
E00000133,547117.612,185464.713
E00000043,543668.919,184521.153
E00000130,547153.781,185570.442
E00000040,544052.67,184292.336
E00000131,546768.609,185499.406
E00000041,544682.685,184545.856
E00000138,548278.789,189342.038
E00000048,543721.963,184516.371
E00000139,548050.808,189314.497
E00000049,544818.975,184466.205
E00000316,548828.406,185982.317
E00000397,547965.844,185746.549
E00000226,546464.372,183901.48
E00000317,549385.754,186126.565
E00000396,548150.323,186107.377
E00000227,545734.895,183901.642
E00000314,549568.53,185941.33
E00000395,547754.586,185941.441
E00000224,546725.629,183892.649
E00000574,547947.216,187786.252
E00000315,548801.989,186076.037
E00000394,547526.235,185868.61
E00000225,545386.97,184109.537
E00000575,548033.761,187720.363
E00000312,549443.202,186136.158
E00000393,548363.091,186109.754
E00000222,545101.407,184022.696
E00000572,547854.747,187816.78
E00000313,549217.994,186157.616
E00000392,547889.153,185890.386
E00000223,545364.723,183950.029
E00000573,548338.768,187882.928
E00000310,549704.631,186026.753
E00000391,547958.531,186033.894
E00000220,544954.967,184052.919
E00000570,548237.938,187905.562
E00000311,549615.939,186273.071
E00000390,548064.493,186061.913
E00000221,547157.104,183914.431
E00000571,548095.694,187858.781
E00000318,548650.57,186003.249
E00000399,548460.201,185693.053
E00000228,545227.014,183961.738
E00000319,549510.015,186036.554
E00000398,548294.627,185742.398
E00000229,545297.974,183784.989
E00000406,548615.045,185416.963
E00000487,547793.264,187030.655
E00000407,548200.327,185460.845
E00000486,547873.375,187234.354
E00000485,547518.73,187058.6
E00000484,547662.352,187021.687
E00000402,547819.758,185598.128
E00000483,547471.366,187178.909
E00000403,548321.752,185536.084
E00000482,547791.858,187283.873
E00000400,548172.477,185704.939
E00000481,547507.704,186754.901
E00000401,548044.797,185613.918
E00000480,545704.341,182991.218
E00000408,547789.177,185377.132
E00000489,547407.057,186900.445
E00000409,548447.685,185238.795
E00000488,548052.543,186980.407
E00000146,548330.982,188738.497
E00000147,548160.705,188839.301
E00000144,548300.314,188848.235
E00000145,547894.492,188849.362
E00000142,548172.415,189143.279
E00000143,547960.182,189045.288
E00000140,547737.29,189256.315
E00000141,548422.638,189202.052
E00000148,547969.219,188767.491
