UID,X,Y
"0",525832.66536,181086.16541
"1",527469.86908,179742.37587
"2",527188.24819,180804.91439
"3",527896.53149,181187.99166
"4",528418.1397,181208.32762
"5",528517.63,181256.77705
"6",527697.14713,181140.17152
"7",528426.43145,181362.27792
"8",529806.85665,181040.94469
"9",529467.96608,181185.33428
"10",529759.82181,181118.00511
"11",529508.9419,181068.15223
"12",529769.34692,181124.23276
"13",529756.1392,181072.5939
"14",529760.58181,180614.11655
"15",529360.62153,180895.82978
"16",529350.73393,180859.91427
"17",529394.10755,180955.74959
"18",529955.55082,180651.69391
"19",529117.61033,181334.68432
"20",530021.2023,180749.96739
"21",529688.34968,181065.40988
"22",530165.07556,180884.41979
"23",529806.46972,181092.57249
"24",530312.5245,180806.46682
"25",530247.57887,180855.32712
"26",530336.26795,180752.0928
"27",529867.78284,181054.39
"28",530146.26928,180797.00572
"29",530428.45978,180773.77655
"30",529814.53702,180995.44756
"31",530531.37921,180827.31561
"32",529309.88067,180862.58906
"33",534579.31563,182935.52617
"34",534636.23816,182946.91068
"35",538344.13975,177157.59806
"36",538425.52354,177487.16212
"37",538309.4912,176921.50449
"38",538274.03688,177061.71023
"39",538138.66582,176931.97963
"40",538343.33397,177086.68941
"41",534713.53297,183002.63484
"42",534706.92955,184523.90405
"43",534425.96956,184726.88331
"44",517751.64529,179368.22964
"45",517820.10656,179177.76688
"46",517121.05472,180408.07865
"47",512904.75072,182702.71553
"48",517842.92698,179155.82416
"49",516178.26542,179964.35065
"50",516567.80084,179267.19926
"51",517523.61647,178681.31003
"52",517590.6452,178528.28057
"53",520279.46736,180790.63112
"54",520501.47412,180769.71255
"55",516337.92479,179706.88947
"56",521379.57734,180769.45629
"57",516690.68004,179914.19587
"58",515681.64955,180105.66681
"59",516920.89142,180294.28022
"60",517493.5236,178758.21402
"61",517450.05613,178834.2821
"62",517228.11328,179826.96355
"63",516956.45342,180072.77971
"64",516307.83192,179102.52441
"65",516217.34736,180595.31095
"66",516663.09492,179566.45609
"67",516444.35655,180442.40321
"68",520608.76614,180528.8116
"69",517337.84748,179985.46851
"70",517558.72481,178605.24196
"71",516457.46034,179513.79358
"72",516485.88138,179455.27967
"73",516374.70496,179645.86782
"74",517068.21974,179936.62802
"75",516546.06711,179795.49624
"76",533612.13227,184551.76854
"77",533558.72097,184390.83187
"78",533505.38061,184189.1146
"79",533609.56189,183931.65536
"80",533595.75562,183721.10967
"81",534467.7741,183606.7484
"82",534469.90106,184498.44246
"83",532409.65662,182989.67811
"84",532423.67135,182970.40787
"85",532671.82483,182876.82854
"86",532675.62887,182797.56464
"87",534139.42149,186213.85144
"88",534224.51806,186257.20252
"89",534374.34911,186362.81205
"90",534327.58569,186403.25365
"91",534277.50272,186422.57888
"92",534736.70309,186160.86678
"93",534159.10456,185844.39973
"94",529853.62377,191765.02396
"95",530066.01815,191794.97702
"96",530237.56746,191699.67185
"97",530697.75528,192087.70004
"98",529969.88126,193773.23711
"99",530194.74928,193467.48131
"100",530547.42,193556.45786
"101",530581.39286,193473.95233
"102",530701.10678,193420.5664
"103",530777.14129,193326.73657
"104",530833.76836,193226.05408
"105",530906.89496,193160.06178
"106",530996.07374,193104.77094
"107",531069.87662,193087.58694
"108",531152.88121,192942.3289
"109",525815.26967,176883.05561
"110",525725.08512,176780.98806
"111",525907.71776,176747.91286
"112",525758.16032,176422.91303
"113",525804.178,176307.86885
"114",516209.5896,188811.48446
"115",513493.64977,189145.32069
"116",521104.35348,176520.86655
"117",519741.07006,177485.26653
"118",520459.87208,177511.10904
"119",519042.06687,177933.51214
"120",519953.86806,178004.78105
"121",539240.91788,175031.18262
"122",539225.76793,174873.62314
"123",538901.55901,174710.00369
"124",539480.28709,174340.34492
"125",539532.57113,174117.85512
"126",539549.63378,174029.1293
"127",540474.42984,174039.3669
"128",540433.47946,174401.09524
"129",540202.93915,174794.59567
"130",539994.49648,174831.46308
"131",538954.96135,174872.66382
"132",532161.53036,183698.50512
"133",532097.07233,183272.22499
"134",531874.52783,183259.00453
"135",531674.13985,183290.46434
"136",531576.48197,182154.88273
"137",531498.93296,182294.54353
"138",531500.10541,182419.99538
"139",531441.48305,182367.82148
"140",532837.86368,184759.33135
"141",532901.19977,184515.44012
"142",532596.80839,184499.36976
"143",532829.35584,184783.90954
"144",532559.94111,184382.15072
"145",532517.40194,184327.32246
"146",532818.95738,184246.02538
"147",532440.83143,184246.02538
"148",532825.57459,184027.65764
"149",532756.5666,183802.67271
"150",531756.40439,177798.8407
"151",531958.82197,177988.20419
"152",532126.80103,178057.03464
"153",531872.78392,178141.43387
"154",531662.19554,178263.52596
"155",531951.15074,178379.46105
"156",532046.79208,178296.51245
"157",531907.12319,178418.33202
"158",532260.82065,178458.92862
"159",532229.8456,178547.88282
"160",532377.11919,178243.2747
"161",532571.58442,178372.01331
"162",532535.19493,178011.13202
"163",538825.78039,185106.75702
"164",539120.64251,185251.29728
"165",539111.9701,185336.09422
"166",539166.8954,185180.95435
"167",539464.64832,185324.531
"168",539601.45403,185452.98949
"169",539384.94135,185734.5712
"170",539833.64209,185888.36616
"171",539971.5819,185677.49266
"172",540121.41307,185522.90495
"173",540052.44317,185660.052
"174",540292.64869,185606.93724
"175",540069.87186,186074.28193
"176",540083.56813,186096.45685
"177",540033.34846,186198.85281
"178",536197.43663,188218.64038
"179",536232.30222,188258.67125
"180",536289.12024,188299.99344
"181",536423.41735,188582.79218
"182",535954.66876,188693.84557
"183",532553.52225,181660.54733
"184",532126.31142,181849.41949
"185",532415.016,181943.85557
"186",532245.93045,181907.87992
"187",532335.86957,181936.66044
"188",532411.41844,182126.43198
"189",532301.69271,182085.05999
"190",532418.61357,182143.52042
"191",532325.07688,182351.27979
"192",532343.10605,181188.60214
"193",532581.86435,181131.20831
"194",533074.87727,181473.84943
"195",533103.57419,181586.34132
"196",533255.09387,181525.50387
"197",533237.87573,181524.35599
"198",533064.54639,181216.72511
"199",532556.03713,181150.14828
"200",532564.07226,181185.73244
"201",532723.62709,181089.31082
"202",532853.33712,180865.47492
"203",532755.76763,180887.28457
"204",532944.01936,180871.2143
"205",532911.87882,180845.96102
"206",533189.66492,180934.34751
"207",533073.7294,180944.67839
"208",533177.03828,181036.50851
"209",533242.46723,181140.96526
"210",533227.54484,181155.88766
"211",533317.0792,181342.99152
"212",533458.57311,181402.28584
"213",533479.02689,181392.05895
"214",532707.38061,181535.95291
"215",530719.6905,177008.5359
"216",530860.71531,177156.12001
"217",530916.46931,177243.57726
"218",530971.13009,177340.87345
"219",531020.3248,177440.35608
"220",534741.09546,182891.78569
"221",534818.98946,182829.4705
"222",534856.73809,183152.43099
"223",518744.66469,169061.40718
"224",517996.88233,170256.18124
"225",519011.2328,166651.25402
"226",531920.45177,184510.36381
"227",532488.7107,184709.62344
"228",532157.84132,184795.72327
"229",532535.45061,184667.80352
"230",536327.37127,185548.45654
"231",535957.03976,185415.73866
"232",534400.12708,182786.21457
"233",534323.55973,182823.7295
"234",534162.73753,182845.25446
"235",534128.2976,182901.21935
"236",533977.00788,182832.95448
"237",534235.3074,182922.74431
"238",533895.40523,182808.35453
"239",533742.08129,182703.16175
"240",533638.79783,182649.45435
"241",533542.59666,182395.08195
"242",538816.7193,174676.6738
"243",533062.65688,181238.58562
"244",519149.3659,178185.60582
"245",519090.61016,178145.44901
"246",538678.04226,174938.61121
"247",532654.50268,181551.17686
"248",532609.05994,181291.05636
"249",532741.47068,181775.64832
"250",532692.11046,181642.45409
"251",533339.57155,181687.0154
"252",533326.83975,181662.33529
"253",533109.8115,181584.76923
"254",532475.38982,181159.12173
"255",533167.63484,180971.96941
"256",533332.8139,181666.84039
"257",517711.42339,178833.41846
"258",518008.85787,178729.99705
"259",521216.88016,178667.51329
"260",521159.88087,178513.26261
"261",521173.00442,178459.00555
"262",518857.21822,178029.96832
"263",518178.71112,178111.45185
"264",515963.76937,176538.97639
"265",516247.39474,176352.50447
"266",516269.33261,176701.94346
"267",516386.85693,176549.94533
"268",516366.48605,176747.3862
"269",516443.26861,176629.86187
"270",520870.80163,178803.27837
"271",520908.01767,178502.4161
"272",517633.20239,178304.77936
"273",518062.36204,178558.82777
"274",523036.25785,166026.1929
"275",528187.15506,165130.64042
"276",526449.63002,165535.52964
"277",526185.45565,164621.86732
"278",523885.33337,165153.35023
"279",526871.91458,163926.12859
"280",526250.47775,164976.92416
"281",530631.67089,181669.8486
"282",530728.84948,181751.2899
"283",530665.61146,181734.86336
"284",527759.86933,185685.88848
"285",529048.90007,184233.21783
"286",528647.58327,184339.88896
"287",528708.58502,184431.74513
"288",528581.4737,184403.5595
"289",529496.3162,184642.39766
"290",529142.08296,184387.56423
"291",531073.41145,182084.8927
"292",528922.1287,184011.9978
"293",528709.9973,184004.94634
"294",528950.13867,183601.34822
"295",528965.49028,183412.36054
"296",529014.26288,183280.34155
"297",529070.67455,183273.29009
"298",530074.08283,181234.80412
"299",530148.47054,181166.1769
"300",530110.76482,181040.32794
"301",530057.87887,180993.90583
"302",530057.48712,181086.75004
"303",529985.01379,181058.54421
"304",530057.48712,180996.64806
"305",519350.82535,184538.04769
"306",518564.97937,184828.72452
"307",518415.33173,185069.25763
"308",520844.55951,183572.38949
"309",520756.80801,183698.53227
"310",521324.05875,183646.03807
"311",532992.43255,184032.38502
"312",535864.31326,184908.28401
"313",514371.99683,171471.95719
"314",514368.88621,171465.73595
"315",533563.18287,175038.1787
"316",533517.49563,175347.78269
"317",533548.60184,175345.35251
"318",533613.73046,175364.79389
"319",533786.75874,175300.1513
"320",533179.21561,174205.8446
"321",533161.71837,174157.72719
"322",533127.93897,174153.59589
"323",532727.62879,177866.10975
"324",531525.66545,179968.45202
"325",531458.59269,179930.78434
"326",531601.72985,178288.47373
"327",531681.63692,178298.03441
"328",532305.0498,178477.39793
"329",532578.87493,178356.94624
"330",532371.77281,178255.42557
"331",532286.917,177116.76604
"332",532283.51476,177164.1544
"333",534413.68251,174138.22505
"334",534336.76755,174172.00445
"335",534618.91058,175759.75769
"336",534586.8323,175718.44475
"337",534649.53075,177483.72209
"338",534609.18989,177470.59916
"339",531748.26926,178535.37927
"340",529889.767,180893.72156
"341",530247.57887,180855.32712
"342",530428.45978,180773.77655
"343",534498.61704,168416.6268
"344",534631.30446,168254.77731
"345",533423.44795,168287.7669
"346",533429.82715,168292.688
"347",533715.97997,168469.30079
"348",534107.61746,168778.64657
"349",534022.68293,168899.07681
"350",533952.42057,169172.19782
"351",533569.85066,169424.08521
"352",533514.26046,169918.92909
"353",533686.31668,169928.58903
"354",533510.88859,170285.551
"355",534298.35563,166923.61992
"356",534322.04981,166837.95633
"357",533833.22061,166757.21385
"358",532045.58568,166044.20123
"359",531834.70746,166239.5871
"360",531685.79863,166719.48542
"361",531322.0018,166912.68414
"362",530722.35672,173272.56721
"363",531056.4447,172788.6591
"364",531076.12909,172776.26522
"365",530575.99958,172677.84324
"366",530740.03623,172645.76496
"367",530630.86073,173543.22768
"368",530853.58604,173351.3048
"369",530804.01052,173667.16648
"370",530973.69732,173808.78479
"371",530955.92668,174061.40122
"372",530740.76528,174505.66714
"373",530059.46641,175386.36168
"374",530443.99565,175376.20052
"375",530561.19072,175286.02593
"376",530837.6836,175591.31635
"377",530983.31169,174883.04256
"378",530982.40038,174860.62422
"379",531274.75013,175339.97576
"380",531346.92626,175183.22963
"381",531719.83624,174818.15696
"382",531837.94262,174569.5503
"383",531851.06555,174503.57112
"384",539267.34464,178308.49228
"385",539515.22224,178167.60303
"386",539534.90663,178090.32354
"387",538515.3765,174191.29658
"388",535951.45928,176170.34616
"389",536093.9651,178059.14205
"390",536074.66743,178142.86422
"391",535462.18929,171713.17974
"392",535487.4247,171793.63615
"393",539375.4585,171239.94166
"394",539932.41875,176467.82706
"395",514244.43756,188037.61811
"396",513865.31093,188272.48128
"397",537683.98427,189555.24875
"398",537538.77101,189286.40798
"399",537593.11277,189302.10671
"400",537200.62275,188304.07094
"401",537179.86218,188194.35761
"402",537327.91977,188399.74687
"403",537232.98265,188232.99739
"404",537257.21562,188347.66075
"405",528362.38595,169622.30217
"406",528343.27637,168724.83612
"407",528415.78161,170510.56256
"408",528475.97464,170644.17284
