FEATURE_ID,easting,northing
RWG002049,528408.438,184842.5949
RWG002126,528537.9052,184849.2573
RWG002244,528659.5515,184581.4704
RWG002656,528530.0809,184621.6026
RWG002860,528231.3929,186143.5148
RWG003035,526287.8976,185032.8635
RWG006365,531761.5714,186119.1226
RWG006847,530819.3476,186839.6287
RWG006861,530734.0565,186775.1725
RWG006947,531014.9031,187161.9294
RWG007191,532530.8501,183729.7496
RWG007398,533032.3135,184246.147
RWG007442,533120.1607,184249.6701
RWG007444,533122.5659,184213.6378
RWG007452,533095.3917,184223.8985
RWG007453,533111.6617,184185.4495
RWG007515,533274.4272,184201.066
RWG007638,533377.9023,184192.2749
RWG007639,533250.5349,183588.5413
RWG007747,529763.8114,182811.8618
RWG007794,529948.73,184682.1461
RWG007797,529937.4775,184668.3749
RWG007802,531297.4284,183561.5195
RWG007837,530105.6103,184621.0817
RWG008245,530174.6379,183406.5965
RWG008254,530913.72,184123.2154
RWG008396,530132.2537,183141.7748
RWG008486,531305.8912,185064.3579
RWG008496,531301.0425,185176.7216
RWG008543,531494.3446,185238.6097
RWG008552,531168.8955,185445.6181
RWG012339,531949.3436,187267.3394
RWG012342,531860.8054,187157.2285
RWG012346,531620.3061,186849.0051
RWG012348,531572.1856,186807.2019
RWG012361,534767.3336,184631.0273
RWG012390,532252.8607,186699.3215
RWG012496,533072.9046,186629.402
RWG012600,535065.643,186238.5374
RWG012670,534149.5644,183652.6166
RWG012676,535488.4313,186175.2157
RWG012699,535503.021,186104.2064
RWG012715,532351.588,186391.2304
RWG012933,537191.5146,184947.2906
RWG013110,534506.9081,184316.6092
RWG013194,531867.6157,186951.6042
RWG013199,531755.3642,186919.1313
RWG013202,533496.239,185356.6993
RWG013204,533481.3443,185351.9125
RWG013222,531808.7198,186815.6738
RWG013308,532615.153,185913.0903
RWG013317,534255.2714,187598.7078
RWG013334,533247.6826,185591.9969
RWG013436,532890.6641,185682.3153
RWG013457,531769.8681,186784.5277
RWG013495,535329.1772,184149.3499
RWG013515,536839.6448,184108.9788
RWG013561,534040.3653,184812.6358
RWG013583,535348.9376,185738.7983
RWG013671,532141.1174,186501.7697
RWG013730,531965.0579,186507.115
RWG013735,531935.2144,186535.6959
RWG013751,533264.4229,185402.046
RWG013758,531881.5089,186500.7998
RWG013769,531907.3134,186475.0856
RWG013832,534969.1653,183991.2016
RWG014029,532710.9173,187214.34
RWG014076,533652.852,185056.8064
RWG014112,535345.1791,185471.7466
RWG014147,533193.7344,187858.4805
RWG014157,533065.5868,187788.8896
RWG014237,534384.5138,184156.6806
RWG014242,536651.3822,183317.7743
RWG014245,534520.6564,184253.7291
RWG014290,536789.594,183458.1645
RWG014303,534489.5698,183743.0544
RWG014328,536875.5558,183437.2916
RWG014489,533374.4632,187627.2101
RWG014567,533526.6724,187212.6377
RWG016960,521784.1571,180765.0742
RWG017011,522008.9062,180442.7405
RWG017241,522178.0649,180051.0988
RWG017737,528179.6393,182427.8118
RWG017741,528130.0982,182438.5129
RWG017746,523028.5953,181747.1665
RWG026340,529891.4537,186555.1342
RWG026342,529851.1356,186272.5542
RWG026343,529693.3938,186031.9533
RWG032131,532373.502,183143.0848
RWG032132,532297.9633,183370.9721
RWG032241,532169.2544,185560.179
RWG032304,531447.1881,184562.415
RWG032312,531437.8536,184221.902
RWG032314,531189.8529,184222.6246
RWG032358,533254.0057,184696.5218
RWG032359,533135.2193,184418.8634
RWG032360,533127.2261,184425.6023
RWG032361,533155.774,184549.8467
RWG032363,533251.7765,184617.1171
RWG032424,529751.7935,185746.057
RWG032507,529196.8154,186009.0027
RWG032542,530305.0304,186759.647
RWG032556,530457.5595,186560.289
RWG032578,530250.3571,186561.2579
RWG032586,531481.1321,183486.9945
RWG032618,529655.1534,184044.7521
RWG032619,530166.9235,183438.5874
RWG032681,533072.8333,183406.4461
RWG039776,528040.2158,185127.9056
RWG039883,529126.8244,185678.0691
RWG039884,529136.8456,185674.5734
RWG039892,529138.4663,185602.0663
RWG039893,529140.3702,185608.7493
RWG039979,528332.9846,185791.5844
RWG040018,528392.7843,185767.5765
RWG040044,528708.0225,184222.0174
RWG040046,528690.2239,184310.6277
RWG040097,528227.2566,186141.6987
RWG040128,527907.4784,184938.6024
RWG041587,535942.8512,185456.0406
RWG041595,536131.1011,185738.3212
RWG041658,534506.4162,185180.5918
RWG041698,533261.601,185396.6295
RWG041716,537002.9802,184656.5034
RWG041825,533455.0915,186052.34
RWG041832,533448.0405,186142.5765
RWG041926,535356.2345,184965.2525
RWG042112,535483.4729,186454.0818
RWG042113,535203.2696,186344.1138
RWG043051,524598.8917,178601.4185
RWG043053,524683.5582,178562.0201
RWG043055,523600.8498,176783.753
RWG043084,523537.6754,177375.0719
RWG043305,526005.8766,177177.8745
RWG043308,525951.8106,177014.1259
RWG043589,525725.3894,177228.1898
RWG043600,525598.6424,177130.5299
RWG043604,525658.0959,177197.7153
RWG043639,524486.7552,176774.1066
RWG043669,524231.9249,176579.7545
RWG043682,524238.8619,176459.189
RWG043692,524423.7266,176158.3945
RWG043780,524499.7902,175827.4405
RWG043784,524517.9344,175825.5013
RWG044079,526069.6026,176521.6684
RWG049152,521781.5172,180602.7057
RWG049203,526992.423,181795.7793
RWG049205,526751.2848,181722.1302
RWG049206,526736.9402,181767.303
RWG049214,523845.5537,181942.4748
RWG049360,522613.0562,180283.1296
RWG054919,527547.892,177203.4338
RWG055011,531525.7082,178923.3059
RWG055029,527356.6659,177839.0428
RWG055096,530851.6583,179502.5803
RWG055349,531441.9246,178053.1622
RWG055367,528529.564,178354.2821
RWG055387,531354.2467,180046.1428
RWG055398,531256.5153,180022.7678
RWG055478,531505.7499,178163.3796
RWG055479,531494.6144,178170.1199
RWG055615,528299.7448,179955.1813
RWG064460,534247.9622,180231.8229
RWG064470,534840.5645,180492.1614
RWG064492,534948.7886,180779.9958
RWG064497,535028.3284,180833.3701
RWG064501,532985.5003,182079.6696
RWG064503,535066.7303,180873.3559
RWG064505,532247.9521,181530.5113
RWG064529,534942.7286,180908.2411
RWG064550,534707.0236,181579.6369
RWG064697,531763.698,182627.3783
RWG064710,531624.0603,182935.1163
RWG064746,533202.6921,181099.9792
RWG064768,529136.6424,182210.958
RWG064777,529629.1009,179621.9962
