startid,endid,edist
E00021781,170,0.0012792720248539701
E00004529,299,0.0016788288244357042
E00176282,86,0.007261698361082034
E00021163,232,0.012959460820220951
E00021719,241,0.015503053643646774
E00023714,0,0.01604158539415714
E00000016,187,0.01734917326502785
E00020111,327,0.019286620384962015
E00009711,113,0.02039854487023112
E00007784,104,0.021288740396213177
E00174840,144,0.021987442728742514
E00015524,381,0.022672769296675468
E00005674,343,0.02297405153299445
E00006905,74,0.02436402695584539
E00008816,90,0.02454082721704943
E00023845,4,0.025972464591423057
E00004554,283,0.027104360700465527
E00013541,147,0.027885284265516525
E00008178,39,0.02795559364902692
E00020111,154,0.028590305151467675
E00013525,140,0.028975812833831577
E00024133,13,0.02970136577758237
E00015652,217,0.0310276142736145
E00005656,354,0.03157340157366096
E00000003,184,0.03167081773448525
E00019793,324,0.03184840562197051
E00016595,130,0.032415372699988114
E00004474,288,0.032441329497158056
E00008284,384,0.03247601681008158
E00024133,8,0.03255723400157334
E00004546,283,0.03312204305323715
E00019991,323,0.033446750702718506
E00016877,392,0.033520458138452225
E00017169,407,0.033592465815766054
E00176263,85,0.03399528344735485
E00013524,228,0.034021920456026034
E00015426,374,0.03448896205417326
E00017927,168,0.034594689091330386
E00020104,157,0.03476776870751676
E00023928,20,0.03484094375251971
E00013460,191,0.035775690432183344
E00006510,71,0.03633724153497017
E00017921,172,0.036579724325732456
E00022186,398,0.03710942201680317
E00005991,54,0.03784322122098284
E00008816,89,0.038537930224582004
E00002886,308,0.040932619961604834
E00008825,92,0.04230908090398955
E00008179,37,0.04297478010674541
E00018260,164,0.04338017829998815
E00021804,177,0.04350336371485616
E00000031,213,0.043922804306771535
E00176281,85,0.04438966365104087
E00021165,220,0.044603782510254424
E00023933,24,0.04467312175309206
E00020847,277,0.04486230975088519
E00019725,332,0.045076028617650435
E00004711,295,0.04585356120618761
E00021698,234,0.04590621643275451
E00000001,186,0.045983799064603315
E00023933,26,0.04677675765848945
E00015754,216,0.04679515160057489
E00013520,148,0.04680841278587308
E00000017,185,0.047221987490016076
E00012781,52,0.047391639289077574
E00016044,378,0.0477748804075972
E00016043,377,0.04789225495659857
E00021709,238,0.047910798757803075
E00008771,43,0.04819677759547214
E00013525,143,0.04831448496790495
E00016044,377,0.04853748171276696
E00006238,65,0.04862295613344799
E00008822,88,0.048698967435463085
E00022372,401,0.048818170832563255
E00004520,291,0.04904103951375516
E00004703,294,0.04958551413326527
E00022346,181,0.049842512291558255
E00023508,6,0.05004177200207547
E00006475,60,0.05063157011035569
E00013526,229,0.05101355390760214
E00174842,142,0.0510213846073541
E00020005,160,0.05129473949288315
E00020104,155,0.05151426354255116
E00019148,314,0.05204748995840916
E00020115,152,0.052241617435281634
E00024133,23,0.052408609310816846
E00013965,134,0.052601646964955714
E00019725,331,0.05323937956629766
E00015427,373,0.05325432264172203
E00006159,44,0.053302738710526654
E00008731,311,0.054082312276998
E00023960,340,0.05467094625728877
E00013579,138,0.05470495841573292
E00020465,335,0.0551325523978076
E00174840,145,0.056197420406087446
E00005997,53,0.05727961570731613
E00015834,362,0.05729181207414268
E00023503,3,0.05745354224498007
E00019148,313,0.05747145357402308
E00007787,106,0.057559887047089434
E00013463,190,0.057901202000466716
E00013526,227,0.05848013539208249
E00005671,347,0.05858443252214175
E00004708,297,0.05884951656754202
E00004554,282,0.05921665944648091
E00011179,395,0.05959818962250076
E00021165,221,0.05996441589993353
E00015492,383,0.06005067502739199
E00023510,3,0.06008859678351035
E00016062,371,0.060245814375192094
E00004546,282,0.06024896480938275
E00006269,65,0.06035436592793991
E00021700,240,0.06060565981295996
E00012782,258,0.06065535010422252
E00008295,386,0.06066534919679309
E00021698,237,0.06088565827314734
E00176231,230,0.060912792171969245
E00005912,344,0.06093388376204266
E00023934,28,0.06094207699313213
E00008175,38,0.06106956627139757
E00020232,333,0.06111734601428811
E00009196,312,0.061256090325027546
E00020005,330,0.061259895786203375
E00016045,378,0.061278338332129846
E00000023,189,0.06153944186760831
E00008619,312,0.06183270324590102
E00000031,212,0.06248586447810161
E00020466,336,0.06259774385197978
E00021168,221,0.06289674125791737
E00019983,162,0.06306494809694997
E00015429,375,0.06315594161776304
E00021709,236,0.06322208637342526
E00016598,246,0.0634557460083536
E00021772,175,0.06362040804356217
E00008821,88,0.06393784909798905
E00176329,85,0.06405849095216348
E00021698,235,0.0642180752520972
E00021153,34,0.06427141556528744
E00174702,309,0.0644335548272328
E00168021,319,0.06448732921927584
E00004534,291,0.06456793792660985
E00012842,118,0.06459036015138221
E00013960,133,0.06489472631535537
E00021157,222,0.06496930233061325
E00015171,325,0.065119595054006
E00019978,162,0.06534427616145295
E00004474,286,0.06551769094079489
E00013539,144,0.06559142921226906
E00013432,189,0.06588261355730383
E00016043,378,0.06590199729439017
E00176245,133,0.06596270137240677
E00004710,297,0.06605201805418483
E00000016,185,0.0661459640190436
E00008180,39,0.0663749457100028
E00013429,188,0.0668020041423181
E00004530,303,0.0668022806698472
E00004546,281,0.06695077025340818
E00021725,235,0.0669519335141674
E00166755,196,0.06706208296715736
E00024133,30,0.06715521117467181
E00021731,233,0.0672515171630663
E00166756,184,0.06731130101711574
E00017898,167,0.06782466116547811
E00006500,257,0.06799370351913574
E00012856,244,0.06811174853514855
E00166759,186,0.06827518744379858
E00024136,17,0.06857988208548975
E00020003,329,0.0686051529090442
E00022372,403,0.06872844108941138
E00018222,163,0.06892221314603031
E00022360,402,0.06915450366869746
E00013428,185,0.06925188383374464
E00024133,10,0.06963453633055945
E00018260,166,0.0697992395122156
E00176281,86,0.06995691563790939
E00013429,190,0.07009572413131918
E00016626,121,0.07011926470576686
E00021703,240,0.07061982579806901
E00008905,83,0.07095677248820025
E00020103,339,0.07096755979068116
E00166840,405,0.07101289621560214
E00015821,365,0.07154722589737099
E00020095,150,0.07178318283150686
E00015383,379,0.07193781288994282
E00020065,337,0.071999826317777
E00017913,173,0.07259925684749025
E00023844,7,0.07277302976389624
E00006162,45,0.07284889716893883
E00012768,263,0.0728868823983796
E00004874,357,0.07293965372601052
E00009705,113,0.07296152498155915
E00008295,385,0.07306127455263177
E00008173,40,0.0730998276416929
E00021717,241,0.07365753936510114
E00168186,263,0.07394412660245393
E00016664,387,0.07408552071456584
E00024133,12,0.07430871469611042
E00021160,220,0.07444792481584801
E00004209,286,0.07463930075635748
E00166758,186,0.07465014358237229
E00017188,407,0.07469853520953451
E00023955,300,0.07490860649854256
E00016842,391,0.07507498791350271
E00004708,296,0.07510948192024698
E00008816,91,0.07526588577034923
E00006506,70,0.07541807942759421
E00016877,391,0.07555335468323937
E00004539,291,0.07572337656231823
E00022369,404,0.07581819218690852
E00021804,176,0.07597560121801727
E00004212,285,0.07618583859217862
E00021772,176,0.07638052962749478
E00013463,188,0.07639883628897343
E00009703,112,0.07646671279689203
E00175195,17,0.07671432891940945
E00021161,33,0.07682526020331322
E00175192,11,0.0770320353488255
E00020108,155,0.07718297747321284
E00013426,190,0.07722355608435628
E00004541,291,0.07723848744494996
E00004382,284,0.07734209331635669
E00015172,324,0.07782178719657179
E00023934,20,0.0778833530258452
E00012757,272,0.07795113430568144
E00008875,85,0.07796693722143339
E00021140,274,0.07814565191572172
E00019985,162,0.07819061819376874
E00019964,328,0.07827766151678094
E00166027,269,0.07834404938248496
E00008822,87,0.07837958701352439
E00000030,213,0.07843910489855412
E00020500,321,0.0785942279142983
E00021703,239,0.07868424639073612
E00019927,161,0.07871330688751166
E00013536,141,0.07877781726531008
E00002897,309,0.07879449933361067
E00021153,33,0.07888754227039642
E00020500,320,0.07898230060765188
E00015204,367,0.0790650871342703
E00017188,408,0.07910206905505743
E00006512,66,0.07959317006115435
E00008818,87,0.07962451936066733
E00013964,135,0.0796388699178794
