startid,endid,routedist
E00021781,170,5.01e-4
E00004529,299,0.001655
E00176282,86,0.007039
E00021163,232,0.017617
E00021719,241,0.015193
E00023714,0,0.015727
E00000016,187,0.026818
E00020111,327,0.013679
E00009711,113,0.013039
E00007784,104,0.019254999999999998
E00174840,144,0.020041
E00015524,381,0.02422
E00005674,343,0.001577
E00006905,74,0.042277
E00008816,90,0.027834
E00023845,4,0.099301
E00004554,283,0.047216
E00013541,147,0.041616
E00008178,39,0.034578000000000005
E00020111,154,0.025856
E00013525,140,0.038124000000000005
E00024133,13,0.028445
E00015652,217,0.066558
E00005656,354,0.032911
E00000003,184,0.124766
E00019793,324,0.022571
E00016595,130,0.05821
E00004474,288,0.065366
E00008284,384,0.037828
E00024133,8,0.061677
E00004546,283,0.043537
E00019991,323,0.034686
E00016877,392,0.115378
E00017169,407,0.005144999999999999
E00176263,85,0.063057
E00013524,228,0.050462
E00015426,374,0.035018
E00017927,168,0.036851
E00020104,157,0.036932
E00023928,20,0.056308
E00013460,191,0.089208
E00006510,71,0.034137
E00017921,172,0.040176
E00022186,398,0.057378
E00005991,54,0.036799
E00008816,89,0.040623
E00002886,308,0.02657
E00008825,92,0.106067
E00008179,37,0.22171700000000003
E00018260,164,0.042981
E00021804,177,0.063817
E00000031,213,0.07273
E00176281,85,0.11837099999999999
E00021165,220,0.028807
E00023933,24,0.040299
E00020847,277,0.263737
E00019725,332,0.212562
E00004711,295,0.049154
E00021698,234,0.079006
E00000001,186,0.39728399999999997
E00023933,26,0.16144399999999998
E00015754,216,0.183672
E00013520,148,0.048038
E00000017,185,0.206239
E00012781,52,0.046073
E00016044,378,0.054229999999999993
E00016043,377,0.042723
E00021709,238,0.050572000000000006
E00008771,43,0.131176
E00013525,143,0.050796
E00016044,377,0.07665999999999999
E00006238,65,0.220132
E00008822,88,0.038863
E00022372,401,0.045492
E00004520,291,0.057107
E00004703,294,0.040473999999999996
E00022346,181,0.048295000000000005
E00023508,6,0.049913
E00006475,60,0.050439
E00013526,229,0.060935
E00174842,142,0.103395
E00020005,160,0.069518
E00020104,155,0.106324
E00019148,314,0.10356900000000001
E00020115,152,0.168216
E00024133,23,0.12922399999999998
E00013965,134,0.080474
E00019725,331,0.165075
E00015427,373,0.051246
E00006159,44,0.049890000000000004
E00008731,311,0.06637399999999999
E00023960,340,0.285069
E00013579,138,0.058744
E00020465,335,0.137539
E00174840,145,0.204149
E00005997,53,0.045176
E00015834,362,0.054179000000000005
E00023503,3,0.056604
E00019148,313,0.104364
E00007787,106,0.057407
E00013463,190,0.07462099999999999
E00013526,227,0.11816299999999999
E00005671,347,0.11618899999999999
E00004708,297,0.055465
E00004554,282,0.126856
E00011179,395,0.059494
E00021165,221,0.163912
E00015492,383,0.049636
E00023510,3,0.083899
E00016062,371,0.094969
E00004546,282,0.12317700000000001
E00006269,65,0.080491
E00021700,240,0.207008
E00012782,258,0.17385
E00008295,386,0.054875
E00021698,237,0.09012
E00176231,230,0.063329
E00005912,344,0.060895000000000005
E00023934,28,0.083881
E00008175,38,0.076854
E00020232,333,0.060738
E00009196,312,0.103432
E00020005,330,0.08278100000000001
E00016045,378,0.282399
E00000023,189,0.22814099999999998
E00008619,312,0.148751
E00000031,212,0.070355
E00020466,336,0.062569
E00021168,221,0.065791
E00019983,162,0.063524
E00015429,375,0.093279
E00021709,236,0.080898
E00016598,246,0.072412
E00021772,175,0.063363
E00008821,88,0.071948
E00176329,85,0.069744
E00021698,235,0.070805
E00021153,34,0.169439
E00174702,309,0.094126
E00168021,319,0.084938
E00004534,291,0.08697
E00012842,118,0.063366
E00013960,133,0.115721
E00021157,222,0.209353
E00015171,325,0.156515
E00019978,162,0.19667400000000002
E00004474,286,0.226745
E00013539,144,0.099795
E00013432,189,0.070663
E00016043,378,0.065152
E00176245,133,0.06250800000000001
E00004710,297,0.068194
E00000016,185,0.193077
E00008180,39,0.180542
E00013429,188,0.07802100000000001
E00004530,303,0.162242
E00004546,281,0.08219199999999999
E00021725,235,0.162828
E00166755,196,0.096771
E00024133,30,0.093558
E00021731,233,0.10254200000000001
E00166756,184,0.190954
E00017898,167,0.08588599999999999
E00006500,257,0.17591800000000002
E00012856,244,0.088474
E00166759,186,0.06929900000000001
E00024136,17,0.066804
E00020003,329,0.065952
E00022372,403,0.34896499999999997
E00018222,163,0.080961
E00022360,402,0.071118
E00013428,185,0.062441
E00024133,10,0.092222
E00018260,166,0.08922100000000001
E00176281,86,0.07280400000000001
E00013429,190,0.082447
E00016626,121,0.076132
E00021703,240,0.083108
E00008905,83,0.07920300000000001
E00020103,339,0.065791
E00166840,405,0.07687000000000001
E00015821,365,0.077521
E00020095,150,0.105125
E00015383,379,0.088027
E00020065,337,0.103896
E00017913,173,0.093515
E00023844,7,0.10923000000000001
E00006162,45,0.07262
E00012768,263,0.194668
E00004874,357,0.070657
E00009705,113,0.328259
E00008295,385,0.12934299999999999
E00008173,40,0.08344199999999999
E00021717,241,0.104686
E00168186,263,0.072561
E00016664,387,0.225887
E00024133,12,0.103549
E00021160,220,0.079071
E00004209,286,0.105807
E00166758,186,0.368454
E00017188,407,0.077425
E00023955,300,0.08959099999999999
E00016842,391,0.087607
E00004708,296,0.11628400000000001
E00008816,91,0.079636
E00006506,70,0.075333
E00016877,391,0.083908
E00004539,291,0.124031
E00022369,404,0.094597
E00021804,176,0.08960299999999999
E00004212,285,0.109711
E00021772,176,0.098968
E00013463,188,0.097788
E00009703,112,0.108378
E00175195,17,0.111349
E00021161,33,0.093231
E00175192,11,0.100145
E00020108,155,0.07694799999999999
E00013426,190,0.151931
E00004541,291,0.128111
E00004382,284,0.09651900000000001
E00015172,324,0.136614
E00023934,20,0.092945
E00012757,272,0.07730500000000001
E00008875,85,0.463577
E00021140,274,0.0915
E00019985,162,0.08322199999999999
E00019964,328,0.28266199999999997
E00166027,269,0.247555
E00008822,87,0.129342
E00000030,213,0.22147399999999998
E00020500,321,0.097238
E00021703,239,0.14380099999999998
E00019927,161,0.116528
E00013536,141,0.215333
E00002897,309,0.189968
E00021153,33,0.09935200000000001
E00020500,320,0.16432
E00015204,367,0.074992
E00017188,408,0.08197
E00006512,66,0.14036600000000002
E00008818,87,0.127077
E00013964,135,0.112773
E00008774,42,0.10190099999999999
E00012781,70,0.125958
E00015792,215,0.148916
E00017924,165,0.083466
E00005676,346,0.153958
E00015206,368,0.250986
E00005031,359,0.475648
E00017915,173,0.178476
E00013527,140,0.09693600000000001
E00005687,352,0.076945
E00004530,27,0.117597
E00016045,377,0.303661
E00012813,261,0.191923
E00171546,339,0.127127
E00166755,197,0.119458
E00015161,224,0.116283
E00019994,323,0.350255
E00021732,236,0.091585
E00021158,41,0.09741200000000001
E00009709,113,0.095431
E00021162,221,0.214483
E00020004,329,0.145662
E00176259,78,0.09664199999999999
E00008615,312,0.079884
E00176289,76,0.132518
E00015490,383,0.080711
E00020109,157,0.17797200000000002
E00021169,81,0.14271899999999998
E00176282,85,0.11699899999999999
E00008280,386,0.119923
E00013426,188,0.128789
E00017934,167,0.103446
E00013516,147,0.09180500000000001
E00017915,171,0.08857
E00013341,266,0.08036700000000001
E00006506,52,0.16093700000000002
E00022355,181,0.147377
E00020137,339,0.077771
E00020110,155,0.121049
E00005702,348,0.08932599999999999
E00006877,75,0.114899
E00004929,356,0.300572
E00009629,109,0.137168
E00005697,350,0.14299199999999998
E00004225,292,0.097501
E00020111,326,0.101486
E00019962,161,0.08689100000000001
E00015654,216,0.117217
E00020003,161,0.08265600000000001
E00005655,347,0.08741800000000001
E00176283,85,0.085477
E00020736,278,0.08672400000000001
