oa11cd,num_500m,num_1km,mindist
E00000001,3,13,.26853299
E00000003,5,15,.124766
E00000005,5,19,.207366
E00000007,1,20,.46049899
E00000010,6,13,.279019
E00000012,8,11,.22365899
E00000013,7,11,.26924399
E00000014,8,13,.24676099
E00000016,8,14,.026818
E00000017,9,20,.114664
E00000018,6,23,.339818
E00000019,6,26,.25075099
E00000020,7,28,.21832401
E00000021,6,23,.350988
E00000022,7,13,.18269999
E00000023,7,11,.22814099
E00000024,0,8,.61673403
E00000025,0,0,1
E00000026,1,11,.47823301
E00000027,2,17,.346533
E00000028,0,4,.87563199
E00000029,0,12,.65950203
E00000030,8,19,.219099
E00000031,10,22,.070354998
E00000032,0,18,.53439701
E00000035,6,23,.26507899
E00000037,0,0,1
E00000038,0,0,1
E00000039,0,0,1
E00000040,0,0,1
E00000041,0,0,1
E00000042,0,0,1
E00000043,0,0,1
E00000045,0,0,1
E00000046,0,0,1
E00000048,0,0,1
E00000049,0,0,1
E00000050,0,0,1
E00000051,0,0,1
E00000052,0,0,1
E00000053,0,0,1
E00000054,0,0,1
E00000055,0,0,1
E00000056,0,0,1
E00000057,0,0,1
E00000059,0,0,1
E00000060,0,0,1
E00000061,0,0,1
E00000062,0,0,1
E00000063,0,0,1
E00000064,0,0,1
E00000065,0,0,1
E00000066,0,0,1
E00000067,0,0,1
E00000068,0,0,1
E00000069,0,0,1
E00000070,0,0,1
E00000071,0,0,1
E00000072,0,0,1
E00000073,0,0,1
E00000074,0,0,1
E00000075,0,0,1
E00000076,0,0,1
E00000077,0,0,1
E00000078,0,0,1
E00000079,0,0,1
E00000080,0,0,1
E00000081,0,0,1
E00000082,0,0,1
E00000083,0,0,1
E00000084,0,0,1
E00000085,0,0,1
E00000086,0,0,1
E00000087,0,0,1
E00000088,0,0,1
E00000089,0,0,1
E00000090,0,0,1
E00000091,0,0,1
E00000092,0,0,1
E00000093,0,0,1
E00000094,0,0,1
E00000095,0,0,1
E00000096,0,0,1
E00000097,0,0,1
E00000098,0,0,1
E00000099,0,0,1
E00000100,0,0,1
E00000101,0,0,1
E00000102,0,0,1
E00000103,0,0,1
E00000104,0,0,1
E00000106,0,0,1
E00000107,0,0,1
E00000108,0,0,1
E00000109,0,0,1
E00000110,0,0,1
E00000111,0,0,1
E00000112,0,0,1
E00000113,0,0,1
E00000114,0,0,1
E00000115,0,0,1
E00000116,0,0,1
E00000117,0,0,1
E00000118,0,0,1
E00000119,0,0,1
E00000120,0,0,1
E00000121,0,0,1
E00000122,0,0,1
E00000123,0,0,1
E00000124,0,0,1
E00000125,0,0,1
E00000126,0,0,1
E00000127,0,0,1
E00000128,0,0,1
E00000129,0,0,1
E00000130,0,0,1
E00000131,0,0,1
E00000132,0,0,1
E00000133,0,0,1
E00000134,0,0,1
E00000135,0,0,1
E00000136,0,0,1
E00000137,0,0,1
E00000138,0,0,1
E00000139,0,0,1
E00000140,0,0,1
E00000141,0,0,1
E00000142,0,0,1
E00000143,0,0,1
E00000144,0,0,1
E00000145,0,0,1
E00000146,0,0,1
E00000147,0,0,1
E00000148,0,0,1
E00000149,0,0,1
E00000150,0,0,1
E00000151,0,0,1
E00000152,0,0,1
E00000153,0,0,1
E00000154,0,0,1
E00000155,0,0,1
E00000156,0,0,1
E00000157,0,0,1
E00000158,0,0,1
E00000159,0,0,1
E00000160,0,0,1
E00000161,0,0,1
E00000162,0,0,1
E00000163,0,0,1
E00000164,0,0,1
E00000165,0,0,1
E00000166,0,0,1
E00000167,0,0,1
E00000168,0,0,1
E00000169,0,0,1
E00000170,0,0,1
E00000171,0,0,1
E00000172,0,0,1
E00000173,0,0,1
E00000174,0,0,1
E00000175,0,0,1
E00000176,0,0,1
E00000177,0,0,1
E00000178,0,0,1
E00000179,0,0,1
E00000180,0,0,1
E00000181,0,0,1
E00000182,0,0,1
E00000183,0,0,1
E00000184,0,0,1
E00000185,0,0,1
E00000186,0,0,1
E00000187,0,0,1
E00000188,0,0,1
E00000189,0,0,1
E00000190,0,0,1
E00000191,0,0,1
E00000192,0,0,1
E00000193,0,0,1
E00000194,0,0,1
E00000195,0,0,1
E00000196,0,0,1
E00000197,0,0,1
E00000198,0,0,1
E00000199,0,0,1
E00000200,0,0,1
E00000201,0,0,1
E00000202,0,0,1
E00000203,0,0,1
E00000204,0,0,1
E00000205,0,0,1
E00000206,0,0,1
E00000207,0,0,1
E00000208,0,0,1
E00000209,0,0,1
E00000210,0,0,1
E00000211,0,0,1
E00000212,0,0,1
E00000213,0,0,1
E00000214,0,0,1
E00000215,0,0,1
E00000216,0,0,1
E00000217,0,0,1
E00000218,0,0,1
E00000219,0,0,1
E00000220,0,0,1
E00000221,0,0,1
E00000222,0,0,1
E00000223,0,0,1
E00000224,0,0,1
E00000225,0,0,1
E00000226,0,0,1
E00000227,0,0,1
E00000228,0,0,1
E00000229,0,0,1
E00000230,0,0,1
E00000231,0,0,1
E00000232,0,0,1
E00000234,0,0,1
E00000235,0,0,1
E00000236,0,0,1
E00000237,0,0,1
E00000238,0,0,1
E00000239,0,0,1
E00000240,0,0,1
E00000241,0,0,1
E00000242,0,0,1
E00000243,0,0,1
E00000244,0,0,1
E00000245,0,0,1
E00000246,0,0,1
E00000247,0,0,1
E00000248,0,0,1
E00000249,0,0,1
E00000250,0,0,1
E00000251,0,0,1
E00000252,0,0,1
E00000253,0,0,1
E00000254,0,0,1
E00000255,0,0,1
E00000256,0,0,1
E00000257,0,0,1
E00000258,0,0,1
E00000259,0,0,1
E00000260,0,0,1
E00000261,0,0,1
E00000263,0,0,1
E00000264,0,0,1
E00000265,0,0,1
E00000266,0,0,1
E00000267,0,0,1
E00000268,0,0,1
E00000269,0,0,1
E00000270,0,0,1
E00000271,0,0,1
E00000272,0,0,1
E00000273,0,0,1
E00000274,0,0,1
E00000275,0,0,1
E00000276,0,0,1
E00000277,0,0,1
E00000278,0,0,1
E00000279,0,0,1
E00000280,0,0,1
E00000282,0,0,1
E00000283,0,0,1
E00000284,0,0,1
E00000285,0,0,1
E00000286,0,0,1
E00000287,0,0,1
