startid,endid,routedist
E01001739,RWG013436,0.0033490000000000004
E01000941,RWG109206,0.013366
E01001747,RWG013202,0.015479
E01032771,RWG071443,0.038950000000000005
E01001870,RWG043053,0.015555
E01004310,RWG070900,0.032762
E01004667,RWG055367,0.029013999999999998
E01001747,RWG013204,0.024604
E01001920,RWG043589,0.034934
E01004271,RWG072517,0.029938
E01033594,RWG102593,0.03162
E01003502,RWG184141,0.047871000000000004
E01004315,RWG072095,0.052018999999999996
E01003259,RWG204255,0.037725
E01002400,RWG242601,0.042941
E01033594,RWG102594,0.057994
E01001847,RWG152036,0.048113
E01002696,RWG007802,0.484041
E01001200,RWG272513,0.07176099999999999
E01004013,RWG244050,0.037086
E01001830,RWG041825,0.044918
E01004242,RWG072451,0.069179
E01002350,RWG122526,0.503422
E01002749,RWG006365,0.037305
E01004568,RWG087826,0.048275
E01004317,RWG071742,0.035396000000000004
E01000139,RWG289391,0.456142
E01004311,RWG072109,0.044458
E01001800,RWG014567,0.304307
E01033424,RWG270656,0.102445
E01001716,RWG013194,0.050131999999999996
E01001939,RWG044079,0.048436
E01000003,RWG065124,0.064236
E01004207,RWG072406,0.056744
E01001807,RWG014147,0.047237
E01002664,RWG231759,0.105632
E01000202,RWG289375,0.098182
E01004268,RWG072084,0.05981
E01001804,RWG014029,0.053948
E01002723,RWG065363,0.063116
E01001920,RWG043604,0.117922
E01003072,RWG105998,0.049851999999999994
E01001806,RWG012496,0.069589
E01001389,RWG231752,0.063695
E01003117,RWG101174,0.069861
E01001166,RWG216554,0.080041
E01002723,RWG064697,0.073434
E01001021,RWG217470,0.058508000000000004
E01000202,RWG289374,0.041914
E01002768,RWG032507,0.08512399999999999
E01001276,RWG271632,0.006211
E01003966,RWG079816,0.081453
E01001919,RWG043055,0.11454900000000001
E01004270,RWG072518,0.124139
E01003912,RWG079879,0.066094
E01004301,RWG064529,0.184887
E01004253,RWG108787,0.069819
E01003631,RWG169930,0.09379699999999999
E01002396,RWG243495,0.065545
E01000647,RWG999360,0.058645
E01003939,RWG079059,0.064122
E01004734,RWG065562,0.084523
E01003435,RWG215582,0.088359
E01003025,RWG199634,0.118623
E01000902,RWG040128,0.16689500000000002
E01003528,RWG166614,0.099316
E01001251,RWG231743,0.088226
E01004078,RWG216183,0.067812
E01004301,RWG108679,0.173261
E01032768,RWG065481,0.072123
E01001716,RWG013199,0.06860200000000001
E01033731,RWG184146,0.059353
E01003979,RWG079354,0.40793
E01001782,RWG032132,0.07165600000000001
E01004579,RWG117238,0.07941
E01004284,RWG071689,0.103036
E01002810,RWG032578,0.127071
E01002739,RWG008543,0.103008
E01000921,RWG039892,0.223456
E01001750,RWG007638,0.080141
E01000921,RWG039893,0.216527
E01001251,RWG231744,0.128079
E01033085,RWG289401,0.07312
E01001166,RWG216620,0.076219
E01001956,RWG017011,0.13776
E01003435,RWG215583,0.110371
E01002662,RWG231760,0.08370999999999999
E01002036,RWG289373,0.11242700000000001
E01002081,RWG289382,0.091183
E01001840,RWG013495,0.14822200000000002
E01000941,RWG065403,0.077362
E01003979,RWG079355,0.426794
E01001792,RWG012600,0.099153
E01003393,RWG215013,0.078126
E01000912,RWG040018,0.213644
E01001409,RWG148063,0.11056300000000001
E01033569,RWG206414,0.264983
E01004301,RWG108678,0.158892
E01001860,RWG017241,0.284388
E01002499,RWG243518,0.10482999999999999
E01003941,RWG079341,0.16382400000000003
E01000881,RWG003035,0.08809900000000001
E01033604,RWG049203,0.081161
E01032777,RWG070989,0.119015
E01004302,RWG064503,0.110038
E01001021,RWG217471,0.15535
E01004315,RWG072096,0.114224
E01002495,RWG243561,0.373564
E01003906,RWG231772,0.29962099999999997
E01000048,RWG170450,0.218725
E01001795,RWG013583,0.194335
E01004307,RWG070889,0.108394
E01002081,RWG289380,0.22964099999999998
E01001751,RWG032360,0.138232
E01001184,RWG215426,0.09458799999999999
E01001756,RWG032363,0.085836
E01000921,RWG039883,0.124696
E01004316,RWG072605,0.156822
E01002798,RWG007191,0.124917
E01001113,RWG216685,0.08427
E01001222,RWG231745,0.118378
E01003086,RWG100915,0.109391
E01003359,RWG133187,0.08801300000000001
E01002725,RWG065228,0.171368
E01002521,RWG243445,0.083996
E01001751,RWG032359,0.12923400000000002
E01003935,RWG108002,0.11961799999999999
E01001868,RWG043051,0.131506
E01000940,RWG065255,0.115787
E01003929,RWG078817,0.107111
E01000921,RWG039884,0.13528
E01004093,RWG134414,0.105087
E01004425,RWG148085,0.127053
E01001921,RWG043600,0.089921
E01003633,RWG169889,0.369444
E01001720,RWG013671,0.106794
E01004425,RWG148086,0.13496
E01002706,RWG065076,0.109476
E01003386,RWG215245,0.13344399999999998
E01001870,RWG043051,0.09966599999999999
E01003359,RWG133188,0.18081999999999998
E01000956,RWG007747,0.180582
E01001907,RWG118323,0.116605
E01003143,RWG101705,0.137819
E01003359,RWG133186,0.140662
E01000459,RWG999364,0.115051
E01004302,RWG108678,0.147194
E01001807,RWG014157,0.222218
E01003671,RWG169591,0.09933700000000001
E01004310,RWG072710,0.12443000000000001
E01002288,RWG122523,0.16486
E01000393,RWG184144,0.108501
E01001952,RWG043692,0.100867
E01002036,RWG289386,0.11830299999999999
E01004260,RWG072260,0.169451
E01003359,RWG133190,0.22370500000000001
E01002024,RWG289398,0.09587699999999999
E01004012,RWG078551,0.17991
E01004607,RWG088197,0.173456
E01003359,RWG133266,0.147151
E01002496,RWG243461,0.209011
E01001664,RWG184151,0.145067
E01003017,RWG055387,0.145302
E01004108,RWG217922,0.179384
E01004301,RWG064492,0.162259
E01004072,RWG106059,0.12356199999999999
E01033083,RWG293227,0.148598
E01004315,RWG072607,0.148577
E01001960,RWG049360,0.12129999999999999
E01003401,RWG133857,0.21407400000000001
E01001719,RWG013671,0.15024
E01002413,RWG243870,0.355485
E01033568,RWG206344,0.202407
E01004102,RWG218058,0.139829
E01002330,RWG166131,0.329469
E01004580,RWG117785,0.116812
E01004524,RWG117009,0.141678
E01004302,RWG108679,0.16156399999999999
E01002805,RWG289383,0.42523
E01001315,RWG243912,0.114778
E01002368,RWG122530,0.10795099999999999
E01000901,RWG002049,0.177216
E01000903,RWG040128,0.186868
E01001815,RWG151993,0.12006
E01003936,RWG081817,0.117029
E01001339,RWG242179,0.187027
E01003359,RWG133185,0.156679
E01001448,RWG148065,0.131333
E01001720,RWG013730,0.160825
E01033699,RWG014076,0.246474
E01003089,RWG101948,0.139079
E01001740,RWG151983,0.191663
E01004316,RWG072607,0.13977799999999999
E01001718,RWG013457,0.186135
E01002805,RWG289385,0.48495900000000003
E01002799,RWG073846,0.227119
E01001750,RWG007515,0.174853
E01004269,RWG072073,0.279302
E01001734,RWG244660,0.318976
E01003936,RWG079383,0.114914
E01002968,RWG133551,0.219414
E01004379,RWG148084,0.355202
E01001268,RWG273357,0.11114
E01002714,RWG008254,0.264904
E01004302,RWG064529,0.17318899999999998
E01033099,RWG117546,0.248521
E01004293,RWG064460,0.28350200000000003
E01001815,RWG014237,0.23411400000000002
E01000029,RWG166059,0.250315
E01033099,RWG116995,0.158495
E01032786,RWG072630,0.226516
E01001809,RWG014489,0.306798
E01003228,RWG204253,0.148211
E01001756,RWG032358,0.168965
E01001734,RWG244659,0.326137
E01004007,RWG078474,0.118077
E01004226,RWG014242,0.20005
E01004250,RWG071183,0.14006800000000003
E01003091,RWG100467,0.15435400000000002
E01004296,RWG064470,0.179348
E01003877,RWG231796,0.242058
E01001916,RWG043784,0.116535
E01001906,RWG118323,0.175794
E01001906,RWG043669,0.12355500000000001
E01004302,RWG064497,0.241439
E01001619,RWG197349,0.285733
E01032769,RWG065481,0.329612
E01001830,RWG041832,0.13029300000000002
E01003359,RWG133193,0.288766
E01032577,RWG243435,0.159586
E01003998,RWG055478,0.325592
E01003877,RWG231732,0.24130600000000002
E01003473,RWG133686,0.127624
E01002727,RWG065225,0.183958
E01004580,RWG117786,0.135602
E01003907,RWG231802,0.429716
E01004247,RWG072165,0.144557
E01002041,RWG289384,0.184027
E01004394,RWG148074,0.180225
E01001716,RWG013222,0.243115
E01000858,RWG040046,0.17394300000000001
E01004041,RWG081824,0.432338
E01000858,RWG040044,0.16536199999999998
E01001755,RWG007639,0.19528299999999998
E01000596,RWG271997,0.6274460000000001
E01003205,RWG197329,0.373774
E01001775,RWG108785,0.133249
E01004520,RWG116754,0.429444
E01004509,RWG088104,0.27525299999999997
E01000254,RWG289354,0.166452
E01001917,RWG043084,0.127378
E01004202,RWG072762,0.137536
E01003204,RWG197330,0.200242
E01001733,RWG041587,0.151809
E01001265,RWG270270,0.48827800000000005
E01003622,RWG167208,0.18566999999999997
E01002797,RWG073846,0.132193
E01002699,RWG032314,0.454444
E01001791,RWG041595,0.18254900000000002
E01002413,RWG243869,0.2944
E01001959,RWG016960,0.168295
E01004257,RWG072982,0.130128
E01003359,RWG133192,0.25268999999999997
E01000715,RWG204258,0.21901099999999998
E01004295,RWG065043,0.166782
E01000711,RWG204260,0.221933
E01001921,RWG043604,0.213782
E01001978,RWG289390,0.17246
E01002496,RWG243462,0.190621
