lsoa11cd,num_500m,num_1km,num_2km,mindist
E01000001,3,11,40,.38986099
E01000002,3,14,42,.231617
E01000003,4,12,43,.064236
E01000005,1,8,42,.49351799
E01000006,0,0,2,1.23448
E01000007,0,0,4,1.2789479
E01000008,0,0,5,1.342452
E01000009,0,0,3,1.379214
E01000010,0,2,3,.75914699
E01000011,0,0,2,1.672008
E01000012,0,0,3,1.753101
E01000013,0,0,3,1.643589
E01000014,0,0,1,1.921065
E01000015,0,0,3,1.4853491
E01000016,0,0,1,1.993179
E01000017,0,0,0,2
E01000018,0,0,3,1.739628
E01000019,0,0,3,1.446754
E01000020,0,0,2,1.635282
E01000021,0,1,2,.86945897
E01000022,0,0,2,1.120575
E01000023,0,1,1,.54304701
E01000024,0,1,1,.92355698
E01000025,0,1,1,.63540202
E01000027,0,1,1,.91255897
E01000028,0,1,1,.804488
E01000029,1,1,1,.25031501
E01000030,1,1,1,.352433
E01000031,0,1,1,.99168003
E01000032,0,1,1,.869165
E01000033,0,0,0,2
E01000034,0,0,0,2
E01000035,0,0,3,1.396769
E01000036,0,0,3,1.207157
E01000037,1,1,2,.421455
E01000038,0,1,1,.801588
E01000039,0,0,1,1.485186
E01000040,0,0,2,1.515105
E01000041,0,1,2,.63012898
E01000042,0,0,2,1.140735
E01000043,0,0,2,1.415519
E01000044,0,0,3,1.297927
E01000045,1,1,2,.30059901
E01000046,0,1,2,.50657302
E01000048,2,2,2,.218725
E01000049,2,2,2,.34140301
E01000050,0,2,2,.57543898
E01000051,1,2,2,.38837799
E01000052,0,1,3,.93981701
E01000053,0,0,3,1.645509
E01000054,0,0,1,1.331816
E01000055,0,1,1,.87278098
E01000056,0,0,1,1.452921
E01000057,0,0,2,1.011973
E01000058,0,0,1,1.744002
E01000059,0,0,2,1.798528
E01000060,0,0,0,2
E01000061,0,0,1,1.763492
E01000062,0,0,0,2
E01000063,0,0,0,2
E01000064,0,0,0,2
E01000065,0,0,0,2
E01000066,0,1,2,.96805501
E01000067,0,0,1,1.320609
E01000068,0,0,2,1.640467
E01000069,0,0,1,1.501271
E01000070,0,0,2,1.9240251
E01000071,0,0,2,1.747003
E01000072,0,1,2,.92387497
E01000073,0,1,2,.70730603
E01000074,0,1,2,.730398
E01000075,0,0,2,1.469663
E01000076,0,0,2,1.149368
E01000077,0,0,1,1.238378
E01000078,0,0,2,1.669754
E01000079,0,0,0,2
E01000080,0,0,1,1.521623
E01000081,0,0,0,2
E01000082,0,0,1,1.71948
E01000083,0,0,2,1.541761
E01000084,0,0,3,1.504822
E01000085,0,0,3,1.0619
E01000086,0,0,3,1.350228
E01000087,0,0,4,1.0114681
E01000088,0,1,4,.713817
E01000089,0,0,4,1.058555
E01000090,0,0,4,1.147976
E01000091,0,0,1,1.5796911
E01000092,0,0,2,1.612064
E01000093,0,0,3,1.632679
E01000094,0,0,1,1.292967
E01000095,0,0,1,1.294399
E01000096,1,1,1,.26266199
E01000097,0,1,2,.64100897
E01000098,0,1,2,.87832803
E01000099,1,1,1,.46142399
E01000100,0,0,1,1.1500961
E01000101,0,0,1,1.5259759
E01000102,0,0,1,1.023253
E01000103,3,3,6,.27962601
E01000104,3,3,6,.198484
E01000105,0,1,3,.961752
E01000106,0,3,3,.63097399
E01000107,0,2,3,.85841203
E01000108,0,3,3,.65592498
E01000109,0,0,1,1.289911
E01000110,0,0,1,1.572286
E01000111,0,0,1,1.297101
E01000112,0,0,2,1.418308
E01000113,0,0,2,1.430432
E01000114,0,0,1,1.239718
E01000115,0,0,1,1.102146
E01000116,0,0,1,1.7741179
E01000117,0,0,1,1.408276
E01000118,0,0,2,1.9319071
E01000119,0,0,1,1.967989
E01000120,0,0,1,1.677026
E01000121,0,0,1,1.3807499
E01000122,0,0,1,1.590575
E01000123,0,1,3,.87026203
E01000124,0,2,4,.77758199
E01000125,0,0,0,2
E01000126,0,0,0,2
E01000127,0,0,0,2
E01000128,0,0,0,2
E01000129,0,0,0,2
E01000130,0,0,0,2
E01000131,0,0,0,2
E01000132,0,0,0,2
E01000133,0,0,0,2
E01000134,0,0,1,1.7077481
E01000135,0,0,1,1.1655869
E01000136,0,0,1,1.196118
E01000137,0,1,1,.57041901
E01000138,0,1,1,.58330101
E01000139,1,1,1,.45614201
E01000140,0,1,1,.55510902
E01000141,0,0,2,1.092373
E01000142,0,1,2,.98207301
E01000143,0,0,2,1.013344
E01000144,0,0,1,1.977509
E01000145,0,0,0,2
E01000146,0,0,1,1.508513
E01000147,0,0,1,1.236961
E01000148,0,0,1,1.49406
E01000150,0,0,2,1.568028
E01000151,0,0,0,2
E01000152,0,0,0,2
E01000153,0,0,0,2
E01000154,0,0,0,2
E01000155,0,0,0,2
E01000156,3,3,8,.39844999
E01000157,2,3,8,.44827101
E01000158,0,3,4,.51165003
E01000159,0,1,4,.75644797
E01000160,0,2,4,.84663498
E01000161,1,3,4,.33120599
E01000162,1,2,6,.384056
E01000163,0,2,8,.88026297
E01000164,0,3,6,.76025498
E01000165,0,2,7,.65774399
E01000166,0,0,1,1.6766911
E01000167,0,0,0,2
E01000168,0,0,1,1.261623
E01000169,0,0,1,1.620981
E01000170,0,0,2,1.126204
E01000171,0,0,2,1.151621
E01000172,0,1,2,.645823
E01000173,0,0,2,1.191921
E01000174,0,1,2,.94209802
E01000175,0,1,2,.81840497
E01000176,0,0,5,1.193431
E01000177,0,0,2,1.7037081
E01000178,0,0,3,1.846648
E01000179,0,0,5,1.32074
E01000180,0,0,3,1.57227
E01000181,0,0,0,2
E01000182,0,0,0,2
E01000183,0,0,5,1.297281
E01000184,0,0,3,1.732906
E01000185,0,0,3,1.6320029
E01000186,0,0,1,1.556904
