startid,endid,edist
E01001739,RWG013436,0.004606797
E01000941,RWG109206,0.006200737
E01001747,RWG013202,0.010405729
E01032771,RWG071443,0.011689194
E01001870,RWG043053,0.018240656
E01004310,RWG070900,0.023327336
E01004667,RWG055367,0.024182183
E01001747,RWG013204,0.024693799
E01001920,RWG043589,0.027458194
E01004271,RWG072517,0.030873173
E01033594,RWG102593,0.031888312
E01003502,RWG184141,0.033931588
E01004315,RWG072095,0.036251149
E01003259,RWG204255,0.037873362
E01002400,RWG242601,0.038684516
E01033594,RWG102594,0.038706962
E01001847,RWG152036,0.040093445
E01002696,RWG007802,0.0413928
E01001200,RWG272513,0.04144882
E01004013,RWG244050,0.041819418
E01001830,RWG041825,0.042086232
E01004242,RWG072451,0.042280702
E01002350,RWG122526,0.043009031
E01002749,RWG006365,0.043218332
E01004568,RWG087826,0.043297811
E01004317,RWG071742,0.043761235
E01000139,RWG289391,0.04581837
E01004311,RWG072109,0.046636875
E01001800,RWG014567,0.047685178
E01033424,RWG270656,0.047800438
E01001716,RWG013194,0.048071408
E01001939,RWG044079,0.049562867
E01000003,RWG065124,0.049932109
E01004207,RWG072406,0.050266713
E01001807,RWG014147,0.051777466
E01002664,RWG231759,0.051793176
E01000202,RWG289375,0.052713576
E01004268,RWG072084,0.053323648
E01001804,RWG014029,0.053854235
E01002723,RWG065363,0.054468781
E01001920,RWG043604,0.054599142
E01003072,RWG105998,0.055458515
E01001806,RWG012496,0.055513685
E01001389,RWG231752,0.055634503
E01003117,RWG101174,0.055663229
E01001166,RWG216554,0.055968817
E01002723,RWG064697,0.056204697
E01001021,RWG217470,0.056755858
E01000202,RWG289374,0.057997811
E01002768,RWG032507,0.058507223
E01001276,RWG271632,0.058895856
E01003966,RWG079816,0.058990817
E01001919,RWG043055,0.059248441
E01004270,RWG072518,0.0605544
E01003912,RWG079879,0.060769042
E01004301,RWG064529,0.060802632
E01004253,RWG108787,0.060802924
E01003631,RWG169930,0.061212424
E01002396,RWG243495,0.062580339
E01000647,RWG999360,0.062973357
E01003939,RWG079059,0.064199994
E01004734,RWG065562,0.064908355
E01003435,RWG215582,0.06617477
E01003025,RWG199634,0.066764706
E01000902,RWG040128,0.067037731
E01003528,RWG166614,0.067245633
E01001251,RWG231743,0.067274673
E01004078,RWG216183,0.067913236
E01004301,RWG108679,0.067973289
E01032768,RWG065481,0.06853579
E01001716,RWG013199,0.06881865
E01033731,RWG184146,0.069245091
E01003979,RWG079354,0.069511494
E01001782,RWG032132,0.069744134
E01004579,RWG117238,0.069978922
E01004284,RWG071689,0.070128548
E01002810,RWG032578,0.070275638
E01002739,RWG008543,0.070386319
E01000921,RWG039892,0.072263244
E01001750,RWG007638,0.073059271
E01000921,RWG039893,0.073239811
E01001251,RWG231744,0.074046742
E01033085,RWG289401,0.074159866
E01001166,RWG216620,0.07420891
E01001956,RWG017011,0.074742268
E01003435,RWG215583,0.075306178
E01002662,RWG231760,0.075382051
E01002036,RWG289373,0.076263191
E01002081,RWG289382,0.076598874
E01001840,RWG013495,0.077143481
E01000941,RWG065403,0.077498148
E01003979,RWG079355,0.077550927
E01001792,RWG012600,0.077981754
E01003393,RWG215013,0.078254601
E01000912,RWG040018,0.079139695
E01001409,RWG148063,0.079565288
E01033569,RWG206414,0.080447463
E01004301,RWG108678,0.080574186
E01001860,RWG017241,0.080600869
E01002499,RWG243518,0.080771267
E01003941,RWG079341,0.08079166
E01000881,RWG003035,0.08118312
E01033604,RWG049203,0.081495567
E01032777,RWG070989,0.081619406
E01004302,RWG064503,0.081640338
E01001021,RWG217471,0.08234213
E01004315,RWG072096,0.083060941
E01002495,RWG243561,0.083066295
E01003906,RWG231772,0.084027334
E01000048,RWG170450,0.084616704
E01001795,RWG013583,0.084638916
E01004307,RWG070889,0.084814444
E01002081,RWG289380,0.084824373
E01001751,RWG032360,0.085020456
E01001184,RWG215426,0.085684914
E01001756,RWG032363,0.086142297
E01000921,RWG039883,0.086429694
E01004316,RWG072605,0.08667001
E01002798,RWG007191,0.086726534
E01001113,RWG216685,0.087697127
E01001222,RWG231745,0.088080424
E01003086,RWG100915,0.088167332
E01003359,RWG133187,0.088740134
E01002725,RWG065228,0.089411358
E01002521,RWG243445,0.089473147
E01001751,RWG032359,0.089621993
E01003935,RWG108002,0.08992202
E01001868,RWG043051,0.090212582
E01000940,RWG065255,0.090416611
E01003929,RWG078817,0.090499849
E01000921,RWG039884,0.091292688
E01004093,RWG134414,0.092082561
E01004425,RWG148085,0.092117369
E01001921,RWG043600,0.093413569
E01003633,RWG169889,0.093435328
E01001720,RWG013671,0.094376378
E01004425,RWG148086,0.094597535
E01002706,RWG065076,0.094906589
E01003386,RWG215245,0.095029403
E01001870,RWG043051,0.095334
E01003359,RWG133188,0.095478041
E01000956,RWG007747,0.095677317
E01001907,RWG118323,0.096012619
E01003143,RWG101705,0.096059488
E01003359,RWG133186,0.096948135
E01000459,RWG999364,0.097057652
E01004302,RWG108678,0.097079279
E01001807,RWG014157,0.097107972
E01003671,RWG169591,0.097191013
E01004310,RWG072710,0.097891745
E01002288,RWG122523,0.098134156
E01000393,RWG184144,0.098570023
E01001952,RWG043692,0.098766017
E01002036,RWG289386,0.09909598
E01004260,RWG072260,0.099341609
E01003359,RWG133190,0.099755016
E01002024,RWG289398,0.099760254
E01004012,RWG078551,0.099946257
E01004607,RWG088197,0.100888891
E01003359,RWG133266,0.101240048
E01002496,RWG243461,0.101847418
E01001664,RWG184151,0.102137261
E01003017,RWG055387,0.103933065
E01004108,RWG217922,0.1044487
E01004301,RWG064492,0.104815983
E01004072,RWG106059,0.104828883
E01033083,RWG293227,0.104860804
E01004315,RWG072607,0.104886326
E01001960,RWG049360,0.105484619
E01003401,RWG133857,0.106553711
E01001719,RWG013671,0.106620249
E01002413,RWG243870,0.106970486
E01033568,RWG206344,0.107447598
E01004102,RWG218058,0.108322015
E01002330,RWG166131,0.10854748
E01004580,RWG117785,0.108952796
E01004524,RWG117009,0.109035755
E01004302,RWG108679,0.109215183
E01002805,RWG289383,0.109399253
E01001315,RWG243912,0.109591924
E01002368,RWG122530,0.109771599
E01000901,RWG002049,0.110216559
E01000903,RWG040128,0.110405742
E01001815,RWG151993,0.110815498
E01003936,RWG081817,0.110839266
E01001339,RWG242179,0.110979628
E01003359,RWG133185,0.111040612
E01001448,RWG148065,0.111801562
E01001720,RWG013730,0.112047112
