startid,endid,routedist
E00009064,E00008911,3.186658
E00009084,E00008996,3.428881
E00008996,E00009084,3.20491
E00009185,E00008742,2.9029000000000003
E00008580,E00009049,3.077397
E00008639,E00008677,3.21958
E00009105,E00008573,3.2393470000000004
E00176280,E00009030,3.404771
E00008559,E00008702,3.133647
E00009170,E00008887,2.800891
E00008736,E00008796,3.235859
E00008892,E00009141,3.5705859999999996
E00008761,E00008890,3.526294
E00008646,E00009146,3.450294
E00176289,E00008611,3.338799
E00008583,E00008564,3.446764
E00008564,E00008583,2.988041
E00009084,E00008660,3.2142429999999997
E00008991,E00008922,3.299861
E00008922,E00008991,3.280072
E00008768,E00008894,3.251451
E00008557,E00009100,3.5599209999999997
E00009100,E00008557,3.568707
E00009003,E00008807,3.492593
E00009001,E00008958,3.371795
E00009051,E00008651,3.182684
E00008555,E00009136,3.143927
E00176258,E00009214,3.4886779999999997
E00176260,E00176221,3.135378
E00176221,E00176260,3.033491
E00176258,E00009208,3.2726840000000004
E00009100,E00008573,3.345009
E00009153,E00009113,3.139241
E00176237,E00008662,3.297177
E00008735,E00008802,3.194234
E00008938,E00008700,3.211832
E00176222,E00008683,3.156506
E00008643,E00008673,3.2341159999999998
E00008642,E00008691,3.332178
E00008976,E00008789,3.3117829999999997
E00008874,E00008698,3.557326
E00009066,E00008808,3.367027
E00009065,E00009116,2.972818
E00008821,E00008550,3.170832
E00008550,E00008821,3.245215
E00009168,E00176254,3.417394
E00009219,E00176247,2.81263
E00009156,E00176281,3.224837
E00009060,E00176229,3.549314
E00008902,E00008770,3.3922559999999997
E00009100,E00008572,3.419184
