startid,endid,routedist
E00176227,E00176229,0.24262899999999998
E00176329,E00176263,0.840186
E00176227,E00176226,0.017956
E00176218,E00009054,0.17397900000000002
E00176244,E00176243,0.046943
E00008938,E00176267,0.872439
E00176218,E00176217,0.051482999999999994
E00176329,E00008875,0.6548930000000001
E00176231,E00176226,0.31075200000000003
E00008938,E00008940,0.8545
E00008615,E00008618,0.365221
E00008892,E00176243,0.08312399999999999
E00009219,E00009214,0.47087
E00176231,E00008935,0.974171
E00009168,E00009157,0.540851
E00008615,E00176336,0.31423399999999996
E00176244,E00176245,0.646048
E00176231,E00176267,0.752548
E00009168,E00009165,0.152775
E00176244,E00008892,0.130069
E00008892,E00176244,0.130069
E00008938,E00008936,0.7750670000000001
E00176227,E00176231,0.575209
E00176231,E00176227,0.292796
E00176329,E00176281,0.173
E00009219,E00009201,0.578233
E00008938,E00008935,1.094061
E00176329,E00008865,0.5962329999999999
E00176329,E00176283,0.763807
E00176329,E00008866,0.605309
E00176329,E00008871,0.77076
E00176227,E00176267,0.45974
E00176218,E00176216,0.23431100000000002
E00008938,E00176231,0.119877
E00176231,E00008938,0.74811
E00008615,E00008619,0.196447
E00176227,E00008936,0.36236799999999997
E00008615,E00009196,1.125058
E00009219,E00009209,0.674504
E00008938,E00176226,0.43064199999999997
E00176231,E00176229,0.535437
E00008892,E00176245,0.776111
E00008892,E00008885,2.0402929999999997
E00008938,E00008925,0.603666
E00176218,E00009062,0.16749
E00008892,E00008889,2.1154450000000002
E00176329,E00176282,0.744105
E00009219,E00009212,1.0740779999999999
E00009219,E00009213,0.296485
E00176244,E00008885,1.91023
E00009168,E00009155,0.536354
E00009219,E00009221,0.568567
E00176231,E00008936,0.655177
E00176329,E00008864,0.507951
E00009168,E00009162,0.366459
E00176218,E00009053,0.31202300000000005
E00008938,E00176227,0.412686
E00176227,E00008938,0.45530200000000004
E00176227,E00008925,0.190966
E00176227,E00176230,1.046416
E00176231,E00008940,0.7346090000000001
E00176227,E00008935,0.6813619999999999
E00009168,E00009163,0.788311
E00176329,E00008879,0.9869260000000001
E00176231,E00008906,1.1486679999999998
E00008615,E00009203,1.038796
E00008938,E00176229,0.655328
E00009219,E00009208,1.046098
E00176231,E00008921,1.182058
E00008938,E00008906,1.268559
E00009168,E00009188,0.661732
E00176218,E00008707,0.29585700000000004
E00009168,E00009185,0.75591
E00008615,E00008617,1.334196
E00176231,E00008925,0.48377499999999996
E00176329,E00008903,0.6855990000000001
E00176329,E00008904,0.823759
E00009219,E00176285,0.617125
E00176218,E00009063,0.251028
E00009219,E00009217,0.695354
E00176244,E00008905,1.729215
E00009219,E00009215,0.5438500000000001
E00176244,E00008889,1.985381
E00176329,E00008902,0.540717
E00176329,E00008874,0.268464
E00176218,E00009056,0.32462599999999997
E00176231,E00176230,0.471194
E00008615,E00176335,0.322325
E00176329,E00008881,0.415957
E00009219,E00009216,0.22387
E00176227,E00008940,0.4418
E00176244,E00008888,1.788182
E00176218,E00008711,0.441401
E00008615,E00176316,0.861523
E00009219,E00009222,0.773563
E00008615,E00009212,1.182413
E00008615,E00008642,0.36727699999999996
E00008615,E00009208,0.964515
E00176218,E00009048,0.379436
E00009219,E00009203,1.120379
E00008892,E00008888,1.9182460000000001
E00008615,E00008624,1.3539919999999999
E00176218,E00009067,0.316164
E00176218,E00008689,0.39776
E00009168,E00009175,0.41593
E00176227,E00008921,0.88925
E00009219,E00009196,1.2066400000000002
E00008938,E00008921,1.301949
E00008892,E00008905,1.859278
E00009168,E00009169,0.438798
E00009219,E00176326,0.872402
E00176227,E00008906,0.8558600000000001
E00009219,E00009210,1.114663
E00176218,E00008710,0.347382
E00176329,E00008900,0.659988
E00176329,E00008905,0.864324
E00008615,E00008641,0.39728600000000003
E00176218,E00008685,0.375937
E00176329,E00008888,0.9232910000000001
E00008938,E00008937,1.470728
E00176218,E00009051,0.518241
E00176231,E00008907,1.306824
E00176231,E00008919,2.76014
E00008615,E00008612,0.5234800000000001
E00176218,E00009050,0.425356
E00176231,E00008937,1.350837
E00009168,E00009158,0.537379
E00176244,E00008877,0.33061799999999997
E00009219,E00008624,1.4355740000000001
E00008615,E00009214,1.624123
E00176329,E00008877,1.080245
E00176218,E00176265,0.530142
E00008938,E00008907,1.426715
E00176227,E00008919,2.467332
E00008938,E00009190,0.87542
E00009168,E00009187,0.994004
E00176218,E00008687,0.45400599999999997
E00008615,E00009205,0.516362
E00008938,E00176230,0.5910839999999999
E00176329,E00008872,0.42200299999999996
E00008938,E00009192,1.582002
E00176244,E00008904,1.68865
E00008615,E00008939,0.541089
E00176329,E00008896,0.865244
E00008615,E00008622,0.880531
E00008615,E00009213,1.429501
E00009219,E00008617,1.415778
E00176329,E00008895,0.565787
E00008892,E00008890,1.958939
E00176231,E00008928,1.435239
E00176231,E00008930,1.322115
E00008892,E00008891,1.879291
E00176329,E00008882,0.769885
E00008892,E00008904,1.818713
E00009219,E00008619,1.4675619999999998
E00009168,E00009160,0.9838600000000001
E00009219,E00008618,1.653703
E00176329,E00008899,0.541019
E00008615,E00008646,0.553951
E00009168,E00009223,0.976417
E00176218,E00009058,0.5340710000000001
E00008938,E00009205,1.617132
E00176218,E00008708,0.552596
E00176218,E00009064,0.573106
E00009219,E00009199,0.525331
E00176329,E00008891,0.884337
E00009168,E00009176,0.5075149999999999
E00009219,E00009218,0.5639489999999999
E00176244,E00008871,1.635651
E00009219,E00176268,0.730567
E00008615,E00008616,0.465129
E00008615,E00009218,1.006979
E00008892,E00008886,2.081378
E00176218,E00176287,0.5076080000000001
E00009168,E00009154,0.472853
E00176218,E00008830,0.794212
E00176244,E00008891,1.749228
E00176329,E00008887,0.625101
E00008615,E00009219,1.580789
E00009219,E00008615,1.481466
E00008615,E00176326,0.8057960000000001
E00176244,E00008879,0.7052609999999999
E00176227,E00009190,0.46272
E00009219,E00009207,1.195145
E00176329,E00008884,0.929655
E00009168,E00009174,0.567434
E00009219,E00009191,1.0916320000000002
E00008615,E00009191,0.785197
E00176244,E00008890,1.828876
E00008892,E00008877,0.460681
E00008938,E00008930,1.4420050000000002
E00008615,E00008937,0.655475
E00176227,E00008907,1.014016
E00176227,E00008928,1.14243
E00176231,E00008939,1.415834
E00176329,E00008885,1.045339
E00008615,E00009216,1.305319
E00176227,E00008937,1.0580289999999999
E00008615,E00008623,0.723622
E00176231,E00009205,1.497242
E00176218,E00008709,0.6217699999999999
E00176231,E00008926,1.443583
E00176218,E00008831,0.783391
E00008938,E00008939,1.535725
E00176231,E00009192,1.4621110000000002
E00176329,E00008894,0.776134
E00176231,E00009190,0.755529
E00008615,E00009209,1.496606
E00176218,E00176288,0.549129
E00176218,E00176289,1.098732
E00176244,E00008866,1.4702
E00008892,E00008871,1.765714
E00008938,E00008919,2.880031
E00008615,E00008907,0.767831
E00176218,E00176321,1.2560319999999998
E00176218,E00009068,0.683142
E00008892,E00008903,1.680554
E00176244,E00008903,1.55049
E00008938,E00009191,1.8859670000000002
E00176227,E00008930,1.029306
E00009168,E00176268,1.000648
E00009219,E00176336,1.37566
E00008938,E00008928,1.555129
