startid,endid,routedist
E00009064,E00008911,3.161183
E00009084,E00008996,3.1440520000000003
E00008996,E00009084,3.1440520000000003
E00009185,E00008742,2.7998600000000002
E00008580,E00009049,3.035721
E00008639,E00008677,3.017975
E00009105,E00008573,2.862489
E00176280,E00009030,2.954453
E00008559,E00008702,3.0635250000000003
E00009170,E00008887,2.9264229999999998
E00008736,E00008796,3.23375
E00008892,E00009141,3.221146
E00008761,E00008890,3.289024
E00008646,E00009146,3.2647
E00176289,E00008611,3.206047
E00008583,E00008564,2.819665
E00008564,E00008583,2.819665
E00009084,E00008660,2.900636
E00008991,E00008922,3.265806
E00008922,E00008991,3.265806
E00008768,E00008894,3.302399
E00008557,E00009100,3.1549650000000002
E00009100,E00008557,3.1549650000000002
E00009003,E00008807,3.066911
E00009001,E00008958,3.225232
E00009051,E00008651,2.878227
E00008555,E00009136,3.083621
E00176258,E00009214,2.9980100000000003
E00176260,E00176221,2.98879
E00176221,E00176260,2.98879
E00176258,E00009208,3.000171
E00009100,E00008573,2.9681509999999998
E00009153,E00009113,3.005928
E00176237,E00008662,2.8706590000000003
E00008735,E00008802,3.115991
E00008938,E00008700,2.811191
E00176222,E00008683,3.096429
E00008643,E00008673,2.923551
E00008642,E00008691,2.930634
E00008976,E00008789,3.0663400000000003
E00008874,E00008698,3.008462
E00009066,E00008808,3.2198580000000003
E00009065,E00009116,2.811554
E00008821,E00008550,3.17728
E00008550,E00008821,3.17728
E00009168,E00176254,2.9397930000000003
E00009219,E00176247,2.7715549999999998
E00009156,E00176281,2.819398
E00009060,E00176229,3.0602069999999997
E00008902,E00008770,3.38009
E00009100,E00008572,3.020187
